Offense_Description,Report_Date,Full_Address
Theft: BOV,10/26/2014 12:00:00 AM,3708 S 2ND ST                                                                                       Austin TX 78704
Theft,22-Jul-15,3410 CLARKSBURG DR                                                                                  Austin TX 78745
Theft,29-Jan-15,10801 OLD MANCHACA RD                                                                               Austin TX 78748
Theft,10-Jun-15,2704 OAK HAVEN DR                                                                                   Austin TX 78704
Burglary,20-Jan-15,7608 BLESSING AVE                                                                                   Austin TX 78752
Theft: Auto Theft,17-Feb-16,900 W 26TH ST                                                                                       Austin TX 78705
Agg Assault,4-Sep-15,8805 NORTH PLZ                                                                                      Austin TX 78753
Burglary: Breaking & Entering,06/07/2014 12:00:00 AM,2207 WICKERSHAM LN                                                                                  Austin TX 78741
Robbery,04/10/2014 12:00:00 AM,408 E RUNDBERG LN                                                                                   Austin TX 78753
Theft,24-Jan-15,4141 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78704
Theft,18-Jun-16,422 E 6TH ST                                                                                        Austin TX 78701
Theft: Auto Theft,18-Jun-15,7408 CAMERON RD                                                                                     Austin TX 78752
Theft,9-Apr-15,629 W BEN WHITE BLVD SVRD EB                                                                        Austin TX 78745
Theft,22-Dec-15,6212 CROW LN                                                                                        Austin TX 78745
Theft,1-Apr-16,4714 CASWELL AVE                                                                                    Austin TX 78751
Theft: BOV,03/11/2014 12:00:00 AM,1601 MIRIAM AVE                                                                                     Austin TX 78702
Theft: BOV,08/05/2014 12:00:00 AM,10850 STONELAKE BLVD                                                                                Austin TX 78759
Theft,3-Mar-15,501 E 8TH ST                                                                                        Austin TX 78701
Theft,25-Jun-15,7211 NORTHEAST DR                                                                                   Austin TX 78723
Theft,28-Aug-15,1034 LIBERTY PARK DR                                                                                Austin TX 78746
Theft: All Other Larceny,04/07/2014 12:00:00 AM,2419 RIO GRANDE ST                                                                                  Austin TX 78705
Theft,19-Jul-16,9500 S IH 35 SVRD SB                                                                                Austin TX 78748
Burglary: Breaking & Entering,03/28/2014 12:00:00 AM,12120 TROTWOOD DR                                                                                   Austin TX 78753
Theft,6-Dec-16,5441 N IH 35 SVRD NB                                                                                Austin TX 78723
Theft,5-Mar-15,14028 N US 183 HWY SVRD SB                                                                          Austin TX 78613
Burglary: Breaking & Entering,10/16/2014 12:00:00 AM,7000 DECKER LN                                                                                      Austin TX 78724
Theft: BOV,02/07/2014 12:00:00 AM,2201 PERRY AVE                                                                                      Austin TX 78704
Theft: Auto Theft,4-Sep-16,3532 AUTUMN BAY DR                                                                                  Austin TX 78744
Theft,14-Nov-15,9900 S IH 35 SB                                                                                     Austin TX 78748
Theft: BOV,06/04/2014 12:00:00 AM,8808 TERESINA DR                                                                                    Austin TX 78749
Theft: BOV,08/06/2014 12:00:00 AM,300 WEST AVE                                                                                        Austin TX 78703
Robbery,08/23/2014 12:00:00 AM,3300 MANOR RD                                                                                       Austin TX 78723
Theft: All Other Larceny,10/17/2014 12:00:00 AM,8509 FM 969 RD                                                                                      Austin TX 78725
Theft,20-May-15,6600 VALLEYSIDE RD                                                                                  Austin TX 78731
Burglary,2-Dec-15,10624 LORD DERBY DR                                                                                 Austin TX 78748
Theft,1-Aug-15,3800 MOUNT BONNELL RD                                                                               Austin TX 78731
Theft,23-Jan-15,1816 E 6TH ST                                                                                       Austin TX 78702
Theft,15-Jul-16,1201 N IH 35 SVRD NB                                                                                Austin TX 78702
Theft,13-Feb-15,715 E 8TH ST                                                                                        Austin TX 78701
Theft,12-May-15,8119 EXCHANGE DR                                                                                    Austin TX 78754
Theft: Auto Theft,16-Mar-15,7020 GRAND CANYON DR                                                                                Austin TX 78752
Theft,5-Dec-15,6109 WAYCROSS DR                                                                                    Austin TX 78745
Theft: BOV,09/03/2014 12:00:00 AM,928 BLACKSON AVE                                                                                    Austin TX 78752
Theft,4-Oct-16,1200 E RIVERSIDE DR                                                                                 Austin TX 78741
Burglary,12-Apr-16,9408 DESSAU RD                                                                                      Austin TX 78753
Theft,23-Jan-15,5800 TECHNI CENTER DR                                                                               Austin TX 78721
Theft,7-Dec-15,6001 W PARMER LN                                                                                    Austin TX 78727
Theft: Auto Theft,21-Dec-15,2200 S PLEASANT VALLEY RD                                                                           Austin TX 78741
Theft,4-Dec-15,7901 CAMERON RD                                                                                     Austin TX 78754
Theft,9-Mar-16,1600 WICKERSHAM LN                                                                                  Austin TX 78741
Theft,29-Jun-15,3409 ESPERANZA XING                                                                                 Austin TX 78758
Burglary,22-Mar-16,8606 CAMERON LOOP                                                                                   Austin TX 78745
Theft: BOV,08/27/2014 12:00:00 AM,4301 GNARL DR                                                                                       Austin TX 78731
Agg Assault,31-May-15,706 VARGAS RD                                                                                       Austin TX 78741
Theft,13-Jun-15,E 3RD ST / CHICON ST                                                                                Austin TX 78702
Theft: Shoplifting,07/16/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,2-Jan-15,11521 N FM 620 RD                                                                                   Austin TX 78726
Theft,26-Apr-16,1114 LOST CREEK BLVD                                                                                Austin TX 78746
Theft: BOV,03/27/2014 12:00:00 AM,700 SAN MARCOS ST                                                                                   Austin TX 78702
Theft,4-Sep-16,710 ROBERT E LEE RD                                                                                 Austin TX 78704
Theft,13-Dec-15,1001 FAUNTLEROY TRL                                                                                 Austin TX 78758
Theft,17-Apr-15,8801 MC CANN DR                                                                                     Austin TX 78757
Theft,3-Oct-16,4120 COMMERCIAL CENTER DR                                                                           Austin TX 78744
Theft: All Other Larceny,03/21/2014 12:00:00 AM,500 CANYON RIDGE DR                                                                                 Austin TX 78753
Theft: BOV,02/11/2014 12:00:00 AM,109 W ANDERSON LN SVRD EB                                                                           Austin TX 78752
Theft,31-May-15,E 7TH ST / SAN MARCOS ST                                                                            Austin TX 78702
Burglary,17-Jul-16,11915 STONEHOLLOW DR                                                                                Austin TX 78758
Theft,9-Apr-16,6218 OAKCLAIRE DR                                                                                   Austin TX 78735
Theft,25-Mar-16,1201 BARBARA JORDAN BLVD                                                                            Austin TX 78723
Theft,4-May-15,11514 RESEARCH BLVD SB                                                                              Austin TX 78759
Theft,19-Dec-16,9209 N LAMAR BLVD                                                                                   Austin TX 78753
Theft: All Other Larceny,06/09/2014 12:00:00 AM,1500 E 6TH ST                                                                                       Austin TX 78702
Theft: Auto Theft,4-Jul-16,600 PARK PL                                                                                         Austin TX 78705
Aggravated Assault,02/23/2014 12:00:00 AM,301 W 5TH ST                                                                                        Austin TX 78701
Theft,2-Mar-16,300 E 4TH ST                                                                                        Austin TX 78701
Theft,14-Oct-16,7604 MENLER DR                                                                                      Austin TX 78735
Theft,12-Apr-15,2222 RIO GRANDE ST                                                                                  Austin TX 78705
Theft: Auto Theft,01/17/2014 12:00:00 AM,9600 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft: All Other Larceny,11/11/2014 12:00:00 AM,9414 N LAMAR BLVD                                                                                   Austin TX 78758
Burglary,12-Dec-15,8104 BURRELL DR                                                                                     Austin TX 78757
Burglary,5-Jun-16,1401 CEDAR AVE                                                                                      Austin TX 78702
Agg Assault,18-Feb-16,8801 SCOTSMAN DR                                                                                    Austin TX 78750
Theft: Auto Theft,09/18/2014 12:00:00 AM,10403 SENTENAL DR                                                                                   Austin TX 78748
Aggravated Assault,01/08/2014 12:00:00 AM,7202 TWIN CREST DR                                                                                  Austin TX 78752
Theft: Shoplifting,07/21/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft: BOV,03/04/2014 12:00:00 AM,1124 S IH 35 SVRD SB                                                                                Austin TX 78704
Theft: BOV,01/25/2014 12:00:00 AM,7010 W SH 71                                                                                        Austin TX 78735
Burglary,24-Feb-16,4223 TRIBORO TRL                                                                                    Austin TX 78749
Homicide: Murder & Non-negligent Manslaughter,12/16/2014 12:00:00 AM,7500 N LAMAR BLVD                                                                                   Austin TX 78757
Theft,17-Aug-16,2601 S PLEASANT VALLEY RD                                                                           Austin TX 78741
Theft,12-Feb-15,919 E 32ND ST                                                                                       Austin TX 78705
Theft,5-Feb-16,5505 DELWOOD DR                                                                                     Austin TX 78723
Robbery,2-Jan-15,8600 N LAMAR BLVD                                                                                   Austin TX 78758
Theft: All Other Larceny,04/15/2014 12:00:00 AM,11679 RESEARCH BLVD SVRD NB                                                                         Austin TX 78759
Theft,21-Feb-16,5526 S CONGRESS AVE                                                                                 Austin TX 78745
Theft: BOV,07/13/2014 12:00:00 AM,2711 CASCADE DR                                                                                     Austin TX 78757
Burglary,13-Jun-15,2110 W SLAUGHTER LN                                                                                 Austin TX 78748
Agg Assault,27-Sep-15,619 W POWELL LN                                                                                     Austin TX 78753
Theft,22-Oct-15,9600 BLOCK S IH 35 NB                                                                               Austin TX 78744
Theft,21-Apr-15,4434 FRONTIER TRL                                                                                   Austin TX 78745
Theft: BOV,03/04/2014 12:00:00 AM,BRAZOS ST / E CESAR CHAVEZ ST                                                                       Austin TX 78701
Theft,11-Feb-16,2330 GUADALUPE ST                                                                                   Austin TX 78705
Theft,30-Apr-15,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft: All Other Larceny,01/22/2014 12:00:00 AM,1304 RIDGEMONT DR                                                                                   Austin TX 78723
Theft,18-May-16,6100 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,26-Aug-15,107 W LOLA DR                                                                                       Austin TX 78753
Theft,1-Jun-16,1611 W 5TH ST                                                                                       Austin TX 78703
Theft: BOV,09/30/2014 12:00:00 AM,1933 ANTONE ST                                                                                      Austin TX 78723
Theft: Auto Theft,07/13/2014 12:00:00 AM,2220 MISSION HILL DR                                                                                Austin TX 78741
Theft,8-Jun-15,13609 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft: All Other Larceny,06/03/2014 12:00:00 AM,2815 E SH 71 WB                                                                                     Austin TX 78617
Burglary,7-Jun-16,2205 E 13TH ST                                                                                      Austin TX 78702
Theft: All Other Larceny,09/30/2014 12:00:00 AM,4704 SANTA ANNA ST                                                                                  Austin TX 78721
Theft: All Other Larceny,09/11/2014 12:00:00 AM,1213 CORONA DR                                                                                      Austin TX 78723
Theft,30-Jun-15,4701 MONTEREY OAKS BLVD                                                                             Austin TX 78749
Theft,9-Jul-16,8505 DAVIS OAKS TRL                                                                                 Austin TX 78748
Agg Assault,29-Apr-15,1722 WOODWARD ST                                                                                    Austin TX 78741
Theft: All Other Larceny,10/06/2014 12:00:00 AM,111 W CESAR CHAVEZ ST                                                                               Austin TX 78701
Theft: All Other Larceny,12/17/2014 12:00:00 AM,2200 S LAKESHORE BLVD                                                                               Austin TX 78741
Theft,18-Sep-16,1801 E 51ST ST                                                                                      Austin TX 78723
Burglary,26-Feb-16,2100 WICKERSHAM LN                                                                                  Austin TX 78741
Theft,17-Apr-15,1130 CAMINO LA COSTA                                                                                Austin TX 78752
Theft: Auto Theft,15-Jul-16,8900 GALEWOOD DR                                                                                    Austin TX 78758
Theft,30-Dec-16,421 W 3RD ST                                                                                        Austin TX 78701
Theft,27-Jan-16,9422 N LAMAR BLVD                                                                                   Austin TX 78758
Theft,24-Apr-15,3800 MOUNT BONNELL RD                                                                               Austin TX 78731
Agg Assault,3-Sep-16,6405 HERGOTZ LN                                                                                     Austin TX 78742
Theft: BOV,09/05/2014 12:00:00 AM,5311 INDIO DR                                                                                       Austin TX 78745
Theft,16-Jun-16,2502 LEON ST                                                                                        Austin TX 78705
Theft,23-Mar-15,605 BARTON SPRINGS RD                                                                               Austin TX 78704
Theft: All Other Larceny,01/15/2014 12:00:00 AM,11830 TOBLER TRL                                                                                    Austin TX 78753
Theft,15-Apr-15,311 W WILLIAM CANNON DR                                                                             Austin TX 78745
Burglary,20-Feb-16,1600 S PLEASANT VALLEY RD                                                                           Austin TX 78741
Burglary: Breaking & Entering,04/19/2014 12:00:00 AM,9201 SIMMONS RD                                                                                     Austin TX 78759
Burglary,14-Jul-16,2314 WICKERSHAM LN                                                                                  Austin TX 78741
Theft: All Other Larceny,07/01/2014 12:00:00 AM,8400 RESEARCH BLVD SB                                                                               Austin TX 78757
Theft,12-Apr-16,3600 S IH 35 SVRD SB                                                                                Austin TX 78704
Theft: BOV,06/19/2014 12:00:00 AM,1704 E 5TH ST                                                                                       Austin TX 78702
Theft: BOV,03/11/2014 12:00:00 AM,9601 MIDDLE FISKVILLE RD                                                                            Austin TX 78753
Theft,22-Mar-15,8764 RESEARCH BLVD SVRD SB                                                                          Austin TX 78757
Theft: All Other Larceny,05/02/2014 12:00:00 AM,5510 S IH 35 SVRD SB                                                                                Austin TX 78745
Theft,25-Sep-16,10710 RESEARCH BLVD SVRD SB                                                                         Austin TX 78759
Theft,29-Jun-16,7320 N MOPAC EXPY NB                                                                                Austin TX 78731
Theft: All Other Larceny,10/08/2014 12:00:00 AM,1006 W KOENIG LN                                                                                    Austin TX 78757
Burglary: Breaking & Entering,12/22/2014 12:00:00 AM,3220 DUVAL RD                                                                                       Austin TX 78759
Theft: BOV,09/23/2014 12:00:00 AM,1012 STONEOAK LN                                                                                    Austin TX 78745
Theft,22-Apr-16,611 CONGRESS AVE                                                                                    Austin TX 78701
Theft,28-Sep-16,105 E STASSNEY LN                                                                                   Austin TX 78745
Theft,11-May-16,1601 E ST ELMO RD                                                                                   Austin TX 78744
Theft,17-Feb-15,5000 SPRUCE LN                                                                                      Austin TX 78744
Theft,9-Oct-15,4402 BALCONES WOODS DR                                                                              Austin TX 78759
Theft,29-May-16,700 E 7TH ST                                                                                        Austin TX 78701
Theft: BOV,07/23/2014 12:00:00 AM,500 COMAL ST                                                                                        Austin TX 78702
Theft,16-Apr-15,516 E 40TH ST                                                                                       Austin TX 78751
Theft,20-Sep-16,4000 S IH 35 SVRD SB                                                                                Austin TX 78704
Theft,6-Jul-16,E 4TH ST / TRINITY ST                                                                               Austin TX 78701
Theft,9-Nov-15,W 18TH ST / CONGRESS AVE                                                                            Austin TX 78701
Theft,11-Jul-16,11711 DOMAIN DR                                                                                     Austin TX 78758
Theft: BOV,09/04/2014 12:00:00 AM,10001 RESEARCH BLVD NB                                                                              Austin TX 78759
Theft: Shoplifting,05/23/2014 12:00:00 AM,8201 N FM 620 RD                                                                                    Austin TX 78726
Theft,13-Feb-15,715 E 8TH ST                                                                                        Austin TX 78701
Aggravated Assault,10/30/2014 12:00:00 AM,5605 NUCKOLS CROSSING RD                                                                            Austin TX 78744
Theft,20-Sep-15,9826 NORTH LAKE CREEK PKWY                                                                          Austin TX 78717
Murder,8-Apr-16,831 W RUNDBERG LN                                                                                   Austin TX 78758
Burglary,9-Jun-16,1202 E 6TH ST                                                                                       Austin TX 78702
Theft,21-Dec-15,11800 DESSAU RD                                                                                     Austin TX 78753
Theft,24-Feb-15,12625 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft,28-Nov-15,1602 S LAMAR BLVD                                                                                   Austin TX 78704
Burglary: Breaking & Entering,01/17/2014 12:00:00 AM,10209 WILLFIELD DR                                                                                  Austin TX 78753
Theft: All Other Larceny,11/07/2014 12:00:00 AM,9500 S IH 35 SB                                                                                     Austin TX 78748
Theft: All Other Larceny,07/02/2014 12:00:00 AM,1206 CLOVERLEAF DR                                                                                  Austin TX 78723
Burglary: Breaking & Entering,10/13/2014 12:00:00 AM,304 W 4TH ST                                                                                        Austin TX 78701
Theft,9-Apr-16,1157 SALINA ST                                                                                      Austin TX 78702
Theft: BOV,01/12/2014 12:00:00 AM,8809 PALACE PKWY                                                                                    Austin TX 78748
Theft: Auto Theft,04/15/2014 12:00:00 AM,10139 METROPOLITAN DR                                                                               Austin TX 78758
Theft,14-Jul-16,1116 HENNINGER ST                                                                                   Austin TX 78702
Theft,18-Aug-15,615 E WONSLEY DR                                                                                    Austin TX 78753
Burglary: Breaking & Entering,08/17/2014 12:00:00 AM,325 E GARRETT RUN                                                                                   Austin TX 78753
Burglary,16-Dec-15,10015 LAKE CREEK PKWY                                                                               Austin TX 78729
Theft,17-Apr-15,2110 W SLAUGHTER LN                                                                                 Austin TX 78748
Theft: All Other Larceny,05/07/2014 12:00:00 AM,6307 CAMERON RD                                                                                     Austin TX 78723
Theft,28-Mar-16,10710 RESEARCH BLVD SVRD SB                                                                         Austin TX 78759
Theft,29-Jul-15,7809 E BEN WHITE BLVD EB                                                                            Austin TX 78744
Theft: BOV,12/06/2014 12:00:00 AM,2700 S LAMAR BLVD                                                                                   Austin TX 78704
Burglary,15-Jan-16,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft,6-May-15,11066 PECAN PARK BLVD                                                                               Austin TX 78613
Theft: from Building,10/30/2014 12:00:00 AM,5308 BURLESON RD                                                                                    Austin TX 78744
Theft: Shoplifting,10/01/2014 12:00:00 AM,E 6TH ST / NECHES ST                                                                                Austin TX 78701
Theft,6-Aug-16,1209 E 51ST ST                                                                                      Austin TX 78723
Burglary,24-Nov-15,2802 WOOLDRIDGE DR                                                                                  Austin TX 78703
Theft: All Other Larceny,11/14/2014 12:00:00 AM,2222 RIO GRANDE ST                                                                                  Austin TX 78705
Theft: All Other Larceny,11/28/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,18-May-16,8706 PRIMROSE LN                                                                                    Austin TX 78757
Robbery,11/04/2014 12:00:00 AM,7905 SAN FELIPE BLVD                                                                                Austin TX 78729
Theft,21-May-15,500 BLOCK NECHES ST                                                                                 Austin TX 78701
Aggravated Assault,04/27/2014 12:00:00 AM,201 E OLTORF ST                                                                                     Austin TX 78704
Burglary,20-Nov-16,308 MEADOW LEA DR                                                                                   Austin TX 78745
Theft,29-Mar-16,2723 S IH 35 SVRD NB                                                                                Austin TX 78741
Theft,11-Apr-16,2800 ESPERANZA XING                                                                                 Austin TX 78758
Theft: All Other Larceny,09/03/2014 12:00:00 AM,5903 MARCHMONT LN                                                                                   Austin TX 78749
Theft: BOV,07/05/2014 12:00:00 AM,509 W SLAUGHTER LN                                                                                  Austin TX 78748
Burglary: Breaking & Entering,10/25/2014 12:00:00 AM,1910 CANTERBURY ST                                                                                  Austin TX 78702
Aggravated Assault,10/26/2014 12:00:00 AM,4700 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,9-Sep-15,6207 HYSIDE DR                                                                                      Austin TX 78723
Burglary: Breaking & Entering,06/08/2014 12:00:00 AM,2100 WICKERSHAM LN                                                                                  Austin TX 78741
Theft,21-Jun-15,7489 CHEVY CHASE DR                                                                                 Austin TX 78752
Theft: All Other Larceny,05/30/2014 12:00:00 AM,707 E BRAKER LN                                                                                     Austin TX 78753
Theft: All Other Larceny,10/07/2014 12:00:00 AM,3400 GUADALUPE ST                                                                                   Austin TX 78705
Theft: BOV,12/05/2014 12:00:00 AM,1912 E WILLIAM CANNON DR                                                                            Austin TX 78744
Theft,24-Sep-15,320 W 2ND ST                                                                                        Austin TX 78701
Burglary,22-May-16,2804 REGENTS PARK                                                                                   Austin TX 78746
Theft: All Other Larceny,04/24/2014 12:00:00 AM,9001 N IH 35 SVRD NB                                                                                Austin TX 78753
Theft: All Other Larceny,12/06/2014 12:00:00 AM,2110 E 4TH ST                                                                                       Austin TX 78702
Burglary: Breaking & Entering,02/10/2014 12:00:00 AM,4613 EAGLE FEATHER DR                                                                               Austin TX 78735
Theft,5-Feb-16,1936 E OLTORF ST                                                                                    Austin TX 78741
Burglary,16-Feb-16,8312 N IH 35 SVRD SB                                                                                Austin TX 78753
Theft: Shoplifting,05/01/2014 12:00:00 AM,5621 N IH 35 NB                                                                                     Austin TX 78723
Theft,25-Dec-16,2600 GUADALUPE ST                                                                                   Austin TX 78705
Theft,2-Mar-15,8617 DULCET DR                                                                                      Austin TX 78745
Theft: BOV,12/17/2014 12:00:00 AM,1710 RUTLAND DR                                                                                     Austin TX 78758
Theft,29-Oct-15,1434 W WELLS BRANCH PKWY                                                                            Austin TX 78660
Theft: All Other Larceny,10/07/2014 12:00:00 AM,N LAMAR BLVD / W RUNDBERG LN                                                                        Austin TX 78758
Theft: Auto Theft,11-Jul-16,4141 S CONGRESS AVE                                                                                 Austin TX 78745
Theft,4-Feb-16,7201 S CONGRESS AVE                                                                                 Austin TX 78745
Theft: Auto Theft,13-Jul-15,400 W ANDERSON LN SVRD WB                                                                           Austin TX 78753
Theft: All Other Larceny,02/27/2014 12:00:00 AM,2707 S IH 35 SVRD NB                                                                                Austin TX 78741
Theft: All Other Larceny,07/06/2014 12:00:00 AM,4405 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,2-Jan-16,6705 COVERED BRIDGE DR                                                                              Austin TX 78736
Theft: BOV,03/05/2014 12:00:00 AM,E 6TH ST / NECHES ST                                                                                Austin TX 78701
Burglary,21-Aug-15,2401 S LAKESHORE BLVD                                                                               Austin TX 78741
Theft: All Other Larceny,03/04/2014 12:00:00 AM,3414 PENNSYLVANIA AVE                                                                               Austin TX 78721
Theft: Shoplifting,12/21/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft,6-Feb-16,904 W BRAKER LN                                                                                     Austin TX 78758
Burglary,22-Dec-16,12306 EMERY OAKS RD                                                                                 Austin TX 78758
Burglary: Breaking & Entering,08/28/2014 12:00:00 AM,808 SAHARA AVE                                                                                      Austin TX 78745
Theft: Auto Theft,01/05/2014 12:00:00 AM,808 WATERFALL WAY                                                                                   Austin TX 78753
Theft: All Other Larceny,02/21/2014 12:00:00 AM,1747 E OLTORF ST                                                                                    Austin TX 78741
Theft: All Other Larceny,03/19/2014 12:00:00 AM,11619 FENCE POST TRL                                                                                Austin TX 78750
Theft,7-Nov-16,301 BRAZOS ST                                                                                       Austin TX 78701
Theft: All Other Larceny,10/20/2014 12:00:00 AM,13435 N US 183 HWY NB                                                                               Austin TX 78729
Theft,10-Sep-15,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Burglary,5-Oct-16,11001 S 1ST ST                                                                                      Austin TX 78748
Burglary,29-Nov-16,8557 RESEARCH BLVD NB                                                                               Austin TX 78758
Theft: All Other Larceny,05/17/2014 12:00:00 AM,310 E 6TH ST                                                                                        Austin TX 78701
Theft,19-Mar-16,7522 N IH 35 SVRD SB                                                                                Austin TX 78752
Theft,3-Jul-15,4200 VAUGHAN ST                                                                                     Austin TX 78723
Theft,9-Dec-16,4501 E RIVERSIDE DR                                                                                 Austin TX 78741
Aggravated Assault,06/02/2014 12:00:00 AM,6103 MANOR RD                                                                                       Austin TX 78723
Theft,18-Mar-15,4610 AVENUE F                                                                                       Austin TX 78751
Burglary,17-Aug-15,3300 PARKER LN                                                                                      Austin TX 78741
Theft,26-Oct-15,4405 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,23-Feb-16,1807 W SLAUGHTER LN                                                                                 Austin TX 78748
Theft: BOV,01/07/2014 12:00:00 AM,1616 ROYAL CREST DR                                                                                 Austin TX 78741
Burglary,2-Mar-16,8101 N LAMAR BLVD NB                                                                                Austin TX 78753
Theft,28-Jul-15,5017 W US 290 HWY SVRD EB                                                                           Austin TX 78749
Theft: Auto Theft,10/13/2014 12:00:00 AM,1412 HASKELL ST                                                                                     Austin TX 78702
Theft,27-Jan-16,4509 E ST ELMO RD                                                                                   Austin TX 78744
Theft,1-Dec-16,1900 BURTON DR                                                                                      Austin TX 78741
Theft,25-Jul-15,309 E 6TH ST                                                                                        Austin TX 78701
Theft,8-Dec-15,7200 N IH 35 SVRD SB                                                                                Austin TX 78752
Theft,4-Jun-15,1012 BAYLOR ST                                                                                      Austin TX 78703
Theft,18-Mar-16,9414 N LAMAR BLVD                                                                                   Austin TX 78758
Theft,11-Sep-15,10710 RESEARCH BLVD SVRD SB                                                                         Austin TX 78759
Theft,17-Jul-15,1010 E CESAR CHAVEZ ST                                                                              Austin TX 78702
Theft,22-Jan-16,2200 S IH 35 SVRD SB                                                                                Austin TX 78704
Theft: All Other Larceny,09/26/2014 12:00:00 AM,1003 N MEADOWS DR                                                                                   Austin TX 78758
Theft,4-Nov-15,6701 BURNET RD                                                                                      Austin TX 78757
Theft,9-Mar-16,7908 CAMERON RD                                                                                     Austin TX 78753
Theft,9-Jun-15,6520 BAY CITY BND                                                                                   Austin TX 78725
Theft,9-Nov-16,9414 N LAMAR BLVD                                                                                   Austin TX 78758
Theft,11-Apr-16,5350 BURNET RD                                                                                      Austin TX 78756
Theft: All Other Larceny,09/10/2014 12:00:00 AM,4201 WESTBANK DR                                                                                    Austin TX 78746
Theft: BOV,11/11/2014 12:00:00 AM,3211 FEATHERGRASS CT                                                                                Austin TX 78758
Theft,9-Jan-15,8038 EXCHANGE DR                                                                                    Austin TX 78754
Theft,22-Jan-16,2200 S IH 35 SVRD SB                                                                                Austin TX 78704
Theft,3-Jan-15,500 E 40TH ST                                                                                       Austin TX 78751
Burglary,28-Jul-16,9501 N FM 620 RD                                                                                    Austin TX 78726
Theft,6-Apr-15,8410 JAMESTOWN DR                                                                                   Austin TX 78758
Agg Assault,13-Sep-15,1614 CANTERBURY ST                                                                                  Austin TX 78702
Theft,21-Jul-16,2604 E 2ND ST                                                                                       Austin TX 78702
Theft,14-Apr-15,1919 WILLOW CREEK DR                                                                                Austin TX 78741
Burglary,25-Aug-15,12518 RESEARCH BLVD SVRD SB                                                                         Austin TX 78759
Theft,23-Jan-16,2410 E RIVERSIDE DR                                                                                 Austin TX 78741
Burglary,6-Dec-16,5309 DARLINGTON CV                                                                                  Austin TX 78723
Theft: All Other Larceny,09/10/2014 12:00:00 AM,601 E 15TH ST                                                                                       Austin TX 78701
Theft,11-Apr-16,9503 RESEARCH BLVD NB                                                                               Austin TX 78759
Theft,24-Oct-16,4206 DUVAL RD                                                                                       Austin TX 78759
Theft: Auto Theft,17-Dec-16,3105 S 1ST ST                                                                                       Austin TX 78704
Theft,1-Aug-16,5621 N IH 35 SVRD NB                                                                                Austin TX 78723
Theft,30-Jun-15,710 E BEN WHITE BLVD WB                                                                             Austin TX 78704
Theft,20-Jan-15,13308 DEARBONNE DR                                                                                  Austin TX 78617
Theft,21-Jan-15,1705 MELISSA OAKS LN                                                                                Austin TX 78744
Theft,30-Sep-15,1420 E ANDERSON LN EB                                                                               Austin TX 78752
Theft,18-Apr-15,11617 RESEARCH BLVD SVRD NB                                                                         Austin TX 78759
Theft: All Other Larceny,05/06/2014 12:00:00 AM,700 W 45TH ST                                                                                       Austin TX 78751
Burglary,8-Jul-15,8912 N LAMAR BLVD                                                                                   Austin TX 78758
Theft: All Other Larceny,05/21/2014 12:00:00 AM,7581 CHEVY CHASE DR                                                                                 Austin TX 78752
Theft,15-Nov-16,9414N N LAMAR BLVD                                                                                  Austin TX 78758
Theft: All Other Larceny,03/03/2014 12:00:00 AM,8455 SPICEWOOD SPRINGS RD                                                                           Austin TX 78750
Theft,31-Aug-16,5801 SILVER SCREEN DR                                                                               Austin TX 78747
Theft,1-May-15,500 E ST ELMO RD                                                                                    Austin TX 78745
Theft,1-Aug-15,5526 N IH 35 SVRD SB                                                                                Austin TX 78751
Theft: All Other Larceny,02/12/2014 12:00:00 AM,6821 AIRPORT BLVD                                                                                   Austin TX 78752
Aggravated Assault,05/06/2014 12:00:00 AM,8300 N IH 35 SVRD NB                                                                                Austin TX 78753
Theft,3-Sep-15,1001 WESSEX WAY                                                                                     Austin TX 78748
Aggravated Assault,06/29/2014 12:00:00 AM,1902 HEARTHSIDE DR                                                                                  Austin TX 78757
Theft: BOV,02/13/2014 12:00:00 AM,3100 COHOBA DR                                                                                      Austin TX 78748
Theft: All Other Larceny,06/17/2014 12:00:00 AM,8803 SCHICK RD                                                                                      Austin TX 78729
Theft,4-Nov-15,5107 MARTIN AVE                                                                                     Austin TX 78751
Agg Assault,12-Nov-15,2025 W BEN WHITE BLVD EB                                                                            Austin TX 78745
Theft: BOV,07/15/2014 12:00:00 AM,4625 W WILLIAM CANNON DR                                                                            Austin TX 78749
