,Council District,GO Highest Offense Desc,Austin_Offense_Description,GO Report Date,Clearance Status,Clearance Date,GO District,GO Census Tract,Full_Address
75,9.0,BURGLARY OF VEHICLE           ,Theft,1-Jan-16,N,22-Mar-16,C,4.01,1405 E 34TH ST                                                                                      Austin  TX  78722
79,2.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,C,2-Jan-16,D,24.09,W STASSNEY LN / EMERALD FOREST DR                                                                   Austin  TX  78745
81,4.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,C,14-Apr-16,E,18.19,834 W RUNDBERG LN                                                                                   Austin  TX  78758
82,4.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,C,14-Apr-16,E,18.04,8028 GESSNER DR                                                                                     Austin  TX  78753
83,8.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,N,11-Jan-16,D,17.7,7200 MAGENTA LN                                                                                     Austin  TX  78739
87,2.0,THEFT                         ,Theft,2-Jan-16,N,2-Feb-16,F,24.3,7404 ONION CROSSING DR                                                                              Austin  TX  78744
90,5.0,THEFT BY SHOPLIFTING          ,Theft,2-Jan-16,C,14-Apr-16,F,17.46,9801 BRODIE LN                                                                                      Austin  TX  78748
94,8.0,THEFT FROM AUTO               ,Theft,2-Jan-16,N,13-Jan-16,D,17.49,6600 S MOPAC EXPY SVRD SB                                                                           Austin  TX  78749
95,6.0,THEFT BY SHOPLIFTING          ,Theft,2-Jan-16,C,10-Jan-16,A,203.18,11200 LAKELINE MALL DR                                                                              Austin  TX  78613
99,5.0,THEFT BY SHOPLIFTING          ,Theft,2-Jan-16,C,14-Apr-16,F,24.21,9300 S IH 35 SVRD SB                                                                                Austin  TX  78748
101,7.0,THEFT                         ,Theft,2-Jan-16,C,12-Feb-16,E,18.39,12351 N IH 35 SVRD NB                                                                               Austin  TX  78753
104,8.0,THEFT                         ,Theft,2-Jan-16,C,14-Apr-16,D,19.1,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin  TX  78746
105,4.0,THEFT                         ,Theft,2-Jan-16,N,13-Jan-16,E,18.22,9971 QUAIL BLVD                                                                                     Austin  TX  78758
111,1.0,THEFT                         ,Theft,2-Jan-16,N,22-Feb-16,C,8.03,1208 CEDAR AVE                                                                                      Austin  TX  78702
115,7.0,THEFT BY SHOPLIFTING          ,Theft,2-Jan-16,C,11-Jan-16,B,15.01,2525 W ANDERSON LN                                                                                  Austin  TX  78757
