AHI #,Project ID,Project Name,Owner,Developer,Address,Zip Code,TCAD ID,Council District,Kirwan Opportunity Index,Total Units,Total Affordable Units,Distance to High Freq. Transit,Unit Type,Housing Type,Status,Affordability Start Year,Affordability Expiration Year ,Affordability Period,Date Fee in Lieu Received,Fee in Lieu Status,Required Amount of Fee in Lieu,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Market Rate Units,Funding,DDB,ERC,RNY,MDA,NBG,PUDDA,PUDDB,SMART,TOD,UNO,VMU,Location
347,3983,Wes Peoples - SF - Section 7 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,3,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,3,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,3984,Centerra - SF - Section 7 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,6,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,6,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,3985,David Weekley - SF - Section 9 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,8,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,8,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,3986,Cool River - SF - Section 4 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,1,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,1,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,3987,Durrett - SF - Section 4 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,3,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,3,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,3988,Freewater - SF - Section 4 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,1,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,1,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,3989,Meritage - SF - Section 4 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,52,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,52,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,3990,Muskin Company - SF - Section 4 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,13,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,13,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,3991,Saldana - SF - Section 4 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,6,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,6,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,3992,Standard Pacific - SF - Section 4 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,83,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,83,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,3993,David Weekley - SF - Section 4 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,90,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,90,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,3994,Meritage - SF - Section 5 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,64,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,64,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,3995,Muskin Company - SF - Section 5 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,9,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,9,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,3996,Saldana - SF - Section 5 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,6,0,1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,6,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,3998,Streetman - SF - Section 5 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,24,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,24,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,3999,David Weekley - SF - Section 5 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,138,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,138,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,4000,AVI - SF - Section 6 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,14,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,14,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,4001,Standard Pacific - SF - Section 6 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,15,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,15,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,4002,Streetman - SF - Section 6 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,58,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,58,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,4003,David Weekley - SF - Section 6 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,36,0,>1/2 Mile,Single Family,Ownership,Project Complete,,,0,,None,$0.00,0,0,0,0,0,0,36,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,4005,RMMA MDA,"Catellus Austin, LLC",Catellus Austin LLC,,78723,,9,Moderate,457,0,>1/2 Mile,Multifamily,Rental,Building Permit Issued / Project Underway,,,0,,None,$0.00,0,0,0,0,0,0,457,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,
347,4006,CalAtlantic - SF - Section 9 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,163,60,>1/2 Mile,Single Family,Ownership,Project Certified / Loan Executed,,,1,,None,$0.00,0,0,0,0,0,60,103,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
