GO Highest Offense Desc,Highest NIBRS/UCR Offense Description,GO Report Date,GO Location,Clearance Date,GO Location Zip
THEFT                         ,Theft,3-Aug-15,1600 SCENIC DR                                                                                      ,4-Aug-15,78703.0
BURGLARY OF VEHICLE           ,Theft,26-May-15,9505 STONELAKE BLVD                                                                                 ,28-May-15,78759.0
THEFT                         ,Theft,2-Oct-15,2313 NEWFIELD LN                                                                                    ,15-Oct-15,78703.0
THEFT BY SHOPLIFTING          ,Theft,8-Nov-15,9300 S IH 35 SVRD SB                                                                                ,12-Nov-15,78748.0
RAPE                          ,Rape,15-May-15,,26-Jun-15,78758.0
BURGLARY OF VEHICLE           ,Theft,5-Apr-15,12101 DESSAU RD                                                                                     ,6-Apr-15,78754.0
THEFT                         ,Theft,5-Mar-15,2525 W ANDERSON LN                                                                                  ,8-Apr-15,78757.0
BURGLARY OF VEHICLE           ,Theft,5-Jun-15,13425 N FM 620 RD NB                                                                                ,11-Jun-15,78729.0
THEFT BY SHOPLIFTING          ,Theft,17-Mar-15,1000 E 41ST ST                                                                                      ,31-Mar-15,78751.0
THEFT BY SHOPLIFTING          ,Theft,24-Nov-15,1604 E RIVERSIDE DR                                                                                 ,25-Dec-15,78741.0
BURGLARY OF RESIDENCE         ,Burglary,12-Apr-15,510 W 23RD ST                                                                                       ,16-Apr-15,78705.0
AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault,21-Feb-15,1919 BURTON DR                                                                                      ,24-Feb-15,78741.0
THEFT                         ,Theft,8-Sep-15,11303 HORNSBY ST                                                                                    ,2-Mar-16,78753.0
THEFT BY SHOPLIFTING          ,Theft,8-Apr-15,11521 N FM 620 RD                                                                                   ,9-Apr-15,78726.0
RAPE                          ,Rape,27-Jul-15,,1-Sep-15,78702.0
THEFT OF BICYCLE              ,Theft,28-Jul-15,651 N PLEASANT VALLEY RD                                                                            ,25-Aug-15,78702.0
AGG ASSAULT                   ,Agg Assault,26-Nov-15,7105 N IH 35 SVRD NB                                                                                ,2-Dec-15,78752.0
THEFT BY SHOPLIFTING          ,Theft,11-Jul-15,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,15-Jul-15,78746.0
THEFT                         ,Theft,20-Mar-15,100 S 1ST ST                                                                                        ,26-Mar-15,78704.0
AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,6-Jun-15,902 VALDEZ ST                                                                                       ,7-Jun-15,78741.0
THEFT                         ,Theft,21-Dec-15,7617 BETHUNE AVE                                                                                    ,23-Dec-15,78752.0
THEFT FROM PERSON             ,Theft,11-Oct-15,325 E 6TH ST                                                                                        ,12-Oct-15,78701.0
THEFT                         ,Theft,1-Mar-15,7104 NORTHEAST DR                                                                                   ,18-Mar-15,78723.0
THEFT                         ,Theft,20-Nov-15,8534 BIRMINGHAM DR                                                                                  ,24-Nov-15,78748.0
THEFT OF METAL                ,Theft,9-Mar-15,1100 E 5TH ST                                                                                       ,7-Apr-15,78702.0
