GO Highest Offense Desc,Highest NIBRS/UCR Offense Description,GO Report Date,GO Location,Clearance Date,GO Location Zip
THEFT                         ,Theft,14-Oct-15,1800 WICKERSHAM LN                                                                                  ,15-Oct-15,78741.0
THEFT                         ,Theft,3-Dec-15,3607 COUNSELOR DR                                                                                   ,29-Dec-15,78749.0
BURGLARY OF VEHICLE           ,Theft,21-May-15,3210 HAMPTON RD                                                                                     ,1-Jun-15,78705.0
THEFT                         ,Theft,23-Sep-15,2200 S LAKESHORE BLVD                                                                               ,9-Oct-15,78741.0
AGG RAPE OF A CHILD           ,Rape,30-Jun-15,,10-Jul-15,78745.0
AUTO THEFT                    ,Auto Theft,28-Dec-15,1088 PARK PLZ                                                                                       ,29-Dec-15,78753.0
BURGLARY OF VEHICLE           ,Theft,15-May-15,5400 WOLF RUN                                                                                       ,26-May-15,78749.0
THEFT BY SHOPLIFTING          ,Theft,27-Apr-15,1008 E 41ST ST                                                                                      ,29-Apr-15,78751.0
BURGLARY OF VEHICLE           ,Theft,6-Sep-15,8011 BECKETT RD                                                                                     ,8-Sep-15,78749.0
BURGLARY OF VEHICLE           ,Theft,11-Jul-15,2906 E MARTIN LUTHER KING JR BLVD                                                                   ,29-Jul-15,78722.0
THEFT                         ,Theft,16-Dec-15,12224 ROXIE DR                                                                                      ,24-Dec-15,78729.0
THEFT FROM PERSON             ,Theft,5-Oct-15,6900 BLOCK BRODIE LN                                                                                ,5-Nov-15,78749.0
BURGLARY OF VEHICLE           ,Theft,14-Mar-15,2425 E RIVERSIDE DR                                                                                 ,27-Mar-15,78741.0
BURGLARY OF RESIDENCE         ,Burglary,7-Oct-15,6717 SANDSHOF DR                                                                                    ,9-Oct-15,78724.0
THEFT                         ,Theft,4-Apr-15,5510 S IH 35 SVRD SB                                                                                ,5-Apr-15,78745.0
THEFT BY SHOPLIFTING          ,Theft,16-Dec-15,1000 E 41ST ST                                                                                      ,21-Dec-15,78751.0
ROBBERY BY ASSAULT            ,Robbery,16-Aug-15,9500 S IH 35 SVRD SB                                                                                ,17-Aug-15,78748.0
BURGLARY OF RESIDENCE         ,Burglary,12-Jan-15,1626 ROYAL HILL DR                                                                                  ,19-Jan-15,78741.0
THEFT BY SHOPLIFTING          ,Theft,14-Jul-15,2107 E 7TH ST                                                                                       ,30-Jul-15,78702.0
AUTO THEFT                    ,Auto Theft,9-Mar-15,2215 TOWN LAKE CIR                                                                                  ,10-Mar-15,78741.0
THEFT                         ,Theft,12-Jun-15,317 E 6TH ST                                                                                        ,24-Jun-15,78701.0
THEFT BY SHOPLIFTING          ,Theft,1-Sep-15,1030 NORWOOD PARK BLVD                                                                              ,2-Sep-15,78753.0
THEFT BY SHOPLIFTING          ,Theft,5-Apr-15,1500 W 35TH ST                                                                                      ,7-Apr-15,78731.0
THEFT                         ,Theft,19-Jun-15,6301 BERKMAN DR                                                                                     ,29-Jun-15,78723.0
THEFT FROM BUILDING           ,Theft,21-May-15,5900 AIRPORT BLVD                                                                                   ,5-Jun-15,78752.0
THEFT BY SHOPLIFTING          ,Theft,8-Aug-15,9500 S IH 35 SB                                                                                     ,18-Aug-15,78748.0
THEFT                         ,Theft,21-Dec-15,4720 W US 290 HWY SVRD WB                                                                           ,,
BURGLARY OF VEHICLE           ,Theft,28-Mar-15,700 COMAL ST                                                                                        ,30-Mar-15,78702.0
THEFT                         ,Theft,10-Feb-15,722 SHELBY LN                                                                                       ,11-Feb-15,78745.0
AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,30-Aug-15,1414 HASKELL ST                                                                                     ,1-Sep-15,78702.0
THEFT                         ,Theft,11-Nov-15,7201 WOOD HOLLOW DR                                                                                 ,30-Nov-15,78731.0
THEFT BY SHOPLIFTING          ,Theft,2-Jul-15,2525 W ANDERSON LN                                                                                  ,3-Jul-15,78757.0
BURGLARY OF VEHICLE           ,Theft,12-Apr-15,1054 SPRINGDALE RD                                                                                  ,29-Apr-15,78721.0
THEFT OF LICENSE PLATE        ,Theft,2-Sep-15,5704 BRITTLYNS CT                                                                                   ,3-Sep-15,78730.0
THEFT BY SHOPLIFTING          ,Theft,22-Jun-15,6600 S MOPAC EXPY SVRD SB                                                                           ,23-Jun-15,78749.0
BURGLARY OF RESIDENCE         ,Burglary,8-Apr-15,620 MONTOPOLIS DR                                                                                   ,21-Apr-15,78741.0
THEFT                         ,Theft,12-Feb-15,919 E 32ND ST                                                                                       ,19-Mar-15,78705.0
THEFT                         ,Theft,23-Mar-15,1003 JUSTIN LN                                                                                      ,31-Mar-15,78757.0
AGG ASSAULT                   ,Agg Assault,1-May-15,5256 BURNET RD                                                                                      ,2-Jun-15,78756.0
THEFT                         ,Theft,9-Dec-15,408 W 15TH ST                                                                                       ,11-Dec-15,78701.0
THEFT                         ,Theft,1-Jan-15,2422 BITTER CREEK DR                                                                                ,2-Jan-15,78744.0
AGG ROBBERY/DEADLY WEAPON     ,Robbery,26-Jun-15,5524 N IH 35 SVRD SB                                                                                ,2-Jul-15,78751.0
BURGLARY OF VEHICLE           ,Theft,9-Jan-15,6010 N IH 35 SVRD SB                                                                                ,13-Jan-15,78752.0
AUTO THEFT                    ,Auto Theft,24-Apr-15,1300 E RIVERSIDE DR                                                                                 ,27-Apr-15,78741.0
BURGLARY OF VEHICLE           ,Theft,29-Jan-15,4900 LA CROSSE AVE                                                                                  ,3-Feb-15,78739.0
AUTO THEFT                    ,Auto Theft,2-Jul-15,5400 JIMMY CLAY DR                                                                                  ,3-Jul-15,78744.0
BREACH OF COMPUTER SECURITY   ,Theft,14-Jan-15,4424 GAINES RANCH LOOP                                                                              ,30-Jan-15,78735.0
THEFT                         ,Theft,11-Dec-15,10006 BRIGHTLING LN                                                                                 ,17-Dec-15,78750.0
THEFT                         ,Theft,4-Nov-15,1628 OHLEN RD                                                                                       ,4-Jan-16,78758.0
BURGLARY OF VEHICLE           ,Theft,8-Oct-15,1907 KENWOOD AVE                                                                                    ,3-Nov-15,78704.0
THEFT BY SHOPLIFTING          ,Theft,4-Feb-15,1030 NORWOOD PARK BLVD                                                                              ,18-Feb-15,78753.0
THEFT                         ,Theft,7-Dec-15,8644 BARROW GLEN LOOP                                                                               ,8-Dec-15,78749.0
THEFT                         ,Theft,12-Mar-15,1030 NORWOOD PARK BLVD                                                                              ,14-Mar-15,78753.0
BURGLARY NON RESIDENCE        ,Burglary,14-Nov-15,620 W 6TH ST                                                                                        ,20-Nov-15,78701.0
THEFT BY SHOPLIFTING          ,Theft,18-Nov-15,9500 S IH 35 SVRD SB                                                                                ,17-Dec-15,78748.0
THEFT FROM PERSON             ,Theft,11-Oct-15,2100 BARTON SPRINGS RD                                                                              ,13-Oct-15,78746.0
THEFT                         ,Theft,14-Oct-15,7600 CHEVY CHASE DR                                                                                 ,15-Oct-15,78752.0
THEFT                         ,Theft,8-Oct-15,525 N LAMAR BLVD                                                                                    ,8-Oct-15,78703.0
BURGLARY OF VEHICLE           ,Theft,19-Nov-15,7622 N IH 35 SVRD SB                                                                                ,20-Nov-15,78752.0
THEFT                         ,Theft,2-Sep-15,12217 TANGLEWILD DR                                                                                 ,14-Sep-15,78758.0
THEFT OF BICYCLE              ,Theft,18-Mar-15,503 E 6TH ST                                                                                        ,24-Mar-15,78701.0
THEFT                         ,Theft,15-Apr-15,4603 ELWOOD RD                                                                                      ,20-Apr-15,78722.0
THEFT OF LICENSE PLATE        ,Theft,26-Jan-15,900 BLOCK COUGAR CV                                                                                 ,29-Jan-15,78745.0
THEFT OF BICYCLE              ,Theft,3-Sep-15,2401 LONGVIEW ST                                                                                    ,8-Sep-15,78705.0
THEFT                         ,Theft,10-Oct-15,6811 BRODIE LN                                                                                      ,21-Oct-15,78745.0
THEFT BY SHOPLIFTING          ,Theft,5-Oct-15,2300 W BEN WHITE BLVD SVRD WB                                                                       ,5-Oct-15,78704.0
BURGLARY OF VEHICLE           ,Theft,16-Mar-15,3904 WALNUT CLAY DR                                                                                 ,27-Mar-15,78731.0
THEFT BY SHOPLIFTING          ,Theft,10-Nov-15,9300 S IH 35 SVRD SB                                                                                ,12-Nov-15,78748.0
BURGLARY OF VEHICLE           ,Theft,19-Nov-15,9012 RESEARCH BLVD SVRD SB                                                                          ,23-Nov-15,78757.0
THEFT FROM AUTO               ,Theft,14-Jul-15,6600 ED BLUESTEIN BLVD SB                                                                           ,4-Aug-15,78723.0
BURGLARY OF VEHICLE           ,Theft,1-Sep-15,6104 CRAFTON PL                                                                                     ,,78749.0
AGG ASLT ENHANC STRANGL/SUFFOC,Agg Assault,18-May-15,8002 PERSIMMON TRL                                                                                  ,10-Jun-15,78745.0
BURGLARY OF VEHICLE           ,Theft,16-Sep-15,5800 TECHNI CENTER DR                                                                               ,16-Oct-15,78721.0
BURGLARY OF VEHICLE           ,Theft,17-Jun-15,7000 DECKER LN                                                                                      ,30-Jun-15,78724.0
THEFT                         ,Theft,3-Oct-15,E 2ND ST / CHALMERS AVE                                                                             ,7-Oct-15,78702.0
THEFT                         ,Theft,18-Oct-15,CONGRESS AVE / E 6TH ST                                                                             ,22-Oct-15,78701.0
THEFT                         ,Theft,4-Jun-15,5716 SIGNAL PT                                                                                      ,17-Jun-15,78724.0
THEFT OF BICYCLE              ,Theft,28-Oct-15,1320 ROBERT BROWNING ST                                                                             ,29-Oct-15,78723.0
THEFT                         ,Theft,3-Aug-15,11310 DOMAIN DR                                                                                     ,,78758.0
THEFT BY SHOPLIFTING          ,Theft,27-Jul-15,525 N LAMAR BLVD                                                                                    ,29-Jul-15,78703.0
BURGLARY OF VEHICLE           ,Theft,10-Mar-15,8221 N IH 35 NB                                                                                     ,11-Mar-15,78753.0
THEFT                         ,Theft,6-Nov-15,4600 NUCKOLS CROSSING RD                                                                            ,29-Dec-15,78744.0
BURGLARY OF VEHICLE           ,Theft,28-Mar-15,2501 WICKERSHAM LN                                                                                  ,,78741.0
BURGLARY OF VEHICLE           ,Theft,23-Jun-15,12545 RIATA VISTA CIR                                                                               ,24-Jun-15,78727.0
THEFT                         ,Theft,2-Oct-15,2200 S PLEASANT VALLEY RD                                                                           ,12-Jan-16,78741.0
BURGLARY OF VEHICLE           ,Theft,19-Dec-15,12400 N IH 35 SVRD NB                                                                               ,28-Dec-15,78753.0
AUTO THEFT                    ,Auto Theft,4-Feb-15,2502 LEON ST                                                                                        ,6-Feb-15,78705.0
AGG ASSAULT ON PUBLIC SERVANT ,Agg Assault,22-Jul-15,1100 E OLTORF ST                                                                                    ,27-Jul-15,78704.0
THEFT                         ,Theft,8-May-15,5738 MANCHACA RD                                                                                    ,11-May-15,78745.0
THEFT BY SHOPLIFTING          ,Theft,16-Jul-15,12625 N IH 35 SVRD NB                                                                               ,,78753.0
BURGLARY OF VEHICLE           ,Theft,31-Oct-15,GEORGIAN DR / FARLEY DR                                                                             ,2-Nov-15,78753.0
BURGLARY OF VEHICLE           ,Theft,3-Feb-15,3210 ESPERANZA XING                                                                                 ,5-Feb-15,78758.0
BURGLARY OF VEHICLE           ,Theft,10-Apr-15,5325 SENDERO HILLS PKWY                                                                             ,15-Apr-15,78724.0
BURGLARY NON RESIDENCE        ,Burglary,16-Oct-15,3412 E 4TH ST                                                                                       ,30-Oct-15,78702.0
BURGLARY OF RESIDENCE         ,Burglary,3-Jul-15,2204 ALLRED DR                                                                                      ,7-Sep-15,78748.0
AGG ASSAULT                   ,Agg Assault,14-Dec-15,5717 ALSACE TRL                                                                                     ,29-Jan-16,78724.0
THEFT                         ,Theft,17-Jun-15,6700 MIDDLE FISKVILLE RD                                                                            ,4-Jul-15,78752.0
BURGLARY OF RESIDENCE         ,Burglary,26-Jan-15,7405 SORDELLO DR                                                                                    ,30-Jan-15,78752.0
ROBBERY BY ASSAULT            ,Robbery,30-Jan-15,825 E RUNDBERG LN                                                                                   ,30-Mar-15,78753.0
THEFT                         ,Theft,19-Apr-15,2607 S IH 35 SVRD NB                                                                                ,5-May-15,78741.0
BURGLARY OF VEHICLE           ,Theft,7-Aug-15,12901 N IH 35 SVRD NB                                                                               ,10-Aug-15,78753.0
THEFT                         ,Theft,13-Jun-15,9400 ARBORETUM BLVD                                                                                 ,19-Jun-15,78759.0
THEFT OF LICENSE PLATE        ,Theft,29-Jul-15,PEARL ST / W 24TH ST                                                                                ,30-Jul-15,78705.0
BURGLARY OF VEHICLE           ,Theft,15-Jul-15,12800 HARRISGLENN DR                                                                                ,15-Jul-15,78753.0
THEFT                         ,Theft,16-Jan-15,10006 BROWNIE DR                                                                                    ,19-Jan-15,78753.0
THEFT                         ,Theft,17-Nov-15,9070 RESEARCH BLVD SVRD SB                                                                          ,23-Nov-15,78757.0
THEFT BY SHOPLIFTING          ,Theft,13-Jul-15,1030 NORWOOD PARK BLVD                                                                              ,13-Jul-15,78753.0
THEFT                         ,Theft,27-Mar-15,4900 MUELLER BLVD                                                                                   ,31-Mar-15,78723.0
BURGLARY OF VEHICLE           ,Theft,16-Nov-15,12001 DESSAU RD                                                                                     ,16-Nov-15,78754.0
THEFT BY SHOPLIFTING          ,Theft,6-Apr-15,9300 S IH 35 SVRD SB                                                                                ,7-Apr-15,78748.0
BURGLARY OF RESIDENCE         ,Burglary,3-Jul-15,1501 WESTMOOR DR                                                                                    ,4-Jul-15,78723.0
THEFT OF LICENSE PLATE        ,Theft,5-Feb-15,500 W RUNDBERG LN                                                                                   ,6-Feb-15,78753.0
AGG ASSAULT                   ,Agg Assault,16-May-15,400 KENNISTON DR                                                                                    ,2-Jun-15,78752.0
THEFT OF BICYCLE              ,Theft,4-Mar-15,1800 FRAZIER AVE                                                                                    ,5-Mar-15,78704.0
THEFT BY SHOPLIFTING          ,Theft,24-Dec-15,1201 BARBARA JORDAN BLVD                                                                            ,27-Dec-15,78723.0
BURGLARY OF VEHICLE           ,Theft,21-Apr-15,2222 RIO GRANDE ST                                                                                  ,28-Apr-15,78705.0
THEFT BY SHOPLIFTING          ,Theft,30-Jan-15,910 W 25TH ST                                                                                       ,,78705.0
AUTO THEFT                    ,Auto Theft,24-Jul-15,8001 S IH 35 SVRD NB                                                                                ,20-Aug-15,78744.0
BURGLARY NON RESIDENCE        ,Burglary,15-Dec-15,1710 HASKELL ST                                                                                     ,1-Mar-16,78702.0
BURG NON RESIDENCE SHEDS      ,Burglary,30-Aug-15,12313 ANTOINETTE PL                                                                                 ,10-Nov-15,78727.0
THEFT FROM PERSON             ,Theft,21-Apr-15,DECKER LN / LOYOLA LN                                                                               ,1-May-15,78724.0
BURGLARY OF RESIDENCE         ,Burglary,18-Dec-15,8038 EXCHANGE DR                                                                                    ,24-Dec-15,78754.0
BURGLARY OF VEHICLE           ,Theft,9-Mar-15,2120 DENTON DR                                                                                      ,11-Mar-15,78758.0
THEFT BY SHOPLIFTING          ,Theft,7-Apr-15,500 CANYON RIDGE DR                                                                                 ,15-Apr-15,78753.0
AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault,3-Jan-15,9508 NIGHT STAR DR                                                                                  ,26-Jan-15,78617.0
BURGLARY OF VEHICLE           ,Theft,16-Mar-15,6407 SPRINGDALE RD                                                                                  ,16-Mar-15,78723.0
THEFT                         ,Theft,2-Jul-15,15424 FM 1825 RD                                                                                    ,23-Jul-15,78660.0
THEFT BY SHOPLIFTING          ,Theft,13-Jul-15,1030 NORWOOD PARK BLVD                                                                              ,15-Jul-15,78753.0
THEFT OF BICYCLE              ,Theft,21-Oct-15,4404 E OLTORF ST                                                                                    ,20-Nov-15,78741.0
THEFT FROM BUILDING           ,Theft,14-Dec-15,2130 WOODWARD ST                                                                                    ,16-Dec-15,78744.0
BURGLARY OF VEHICLE           ,Theft,11-Oct-15,701 CENTER RIDGE DR                                                                                 ,12-Oct-15,78753.0
BURGLARY OF RESIDENCE         ,Burglary,21-Dec-15,2601 WOOLDRIDGE DR                                                                                  ,5-Jan-16,78703.0
BURGLARY NON RESIDENCE        ,Burglary,21-Dec-15,2911 MEDICAL ARTS ST                                                                                ,19-Jan-16,78705.0
AGG ROBBERY/DEADLY WEAPON     ,Robbery,8-Dec-15,9345 E US 290 HWY SVRD EB                                                                           ,,78724.0
THEFT                         ,Theft,11-Feb-15,806 TURTLE CREEK BLVD                                                                               ,12-Feb-15,78745.0
THEFT OF BICYCLE              ,Theft,20-Aug-15,1044 CAMINO LA COSTA                                                                                ,25-Aug-15,78752.0
BURGLARY OF VEHICLE           ,Theft,6-Aug-15,4904 CABOB ST                                                                                       ,7-Aug-15,78744.0
BURGLARY OF VEHICLE           ,Theft,14-Jun-15,2222 PEARL ST                                                                                       ,15-Jun-15,78705.0
ROBBERY BY ASSAULT            ,Robbery,19-Mar-15,11200 LAKELINE MALL DR                                                                              ,24-May-15,78613.0
AUTO THEFT                    ,Auto Theft,24-Dec-15,15424 FM 1825 RD                                                                                    ,27-Dec-15,78660.0
BURGLARY OF RESIDENCE         ,Burglary,14-Jun-15,2501 WICKERSHAM LN                                                                                  ,16-Jun-15,78741.0
THEFT BY SHOPLIFTING          ,Theft,30-Jun-15,9300 S IH 35 SVRD SB                                                                                ,4-Jul-15,78748.0
BURGLARY OF VEHICLE           ,Theft,17-Jan-15,8716 MINOT CIR                                                                                      ,20-Jan-15,78748.0
BURGLARY OF VEHICLE           ,Theft,22-Jul-15,7601 E BEN WHITE BLVD EB                                                                            ,22-Jul-15,78744.0
AUTO THEFT                    ,Auto Theft,8-Feb-15,8926 N LAMAR BLVD                                                                                   ,9-Feb-15,78758.0
ROBBERY BY ASSAULT            ,Robbery,23-Oct-15,3900 N IH 35 SVRD SB                                                                                ,4-Nov-15,78751.0
THEFT OF BICYCLE              ,Theft,9-Feb-15,2700 NUECES ST                                                                                      ,11-Feb-15,78705.0
THEFT FROM PERSON             ,Theft,20-Mar-15,1401 E 12TH ST                                                                                      ,6-Apr-15,78702.0
BURGLARY OF RESIDENCE         ,Burglary,15-Dec-15,12349 METRIC BLVD                                                                                   ,16-Dec-15,78758.0
BURGLARY OF VEHICLE           ,Theft,18-Apr-15,333 E SLAUGHTER LN                                                                                  ,,78744.0
BURGLARY NON RESIDENCE        ,Burglary,28-Nov-15,7500 RIALTO BLVD                                                                                    ,18-Jan-16,78735.0
BURGLARY OF VEHICLE           ,Theft,27-Feb-15,7905 SAN FELIPE BLVD                                                                                ,3-Mar-15,78729.0
BURGLARY OF VEHICLE           ,Theft,27-Sep-15,5207 RAIN CREEK PKWY                                                                                ,28-Sep-15,78759.0
RAPE OF A CHILD               ,Rape,19-Aug-15,,27-Aug-15,78758.0
AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault,11-Apr-15,8225 N FM 620 RD                                                                                    ,14-Apr-15,78726.0
BURGLARY OF VEHICLE           ,Theft,18-Dec-15,7598 CHEVY CHASE DR                                                                                 ,22-Dec-15,78752.0
BURGLARY OF VEHICLE           ,Theft,5-Jun-15,4509 E ST ELMO RD                                                                                   ,9-Jun-15,78744.0
BREACH OF COMPUTER SECURITY   ,Theft,3-Dec-15,1729 CONSTANTINO CIR                                                                                ,9-Dec-15,78745.0
THEFT                         ,Theft,21-Jan-15,710 E BEN WHITE BLVD SVRD WB                                                                        ,27-Jan-15,78704.0
THEFT                         ,Theft,31-Oct-15,2123 GOODRICH AVE                                                                                   ,10-Nov-15,78704.0
THEFT                         ,Theft,15-Sep-15,6518 ED BLUESTEIN BLVD SB                                                                           ,28-Nov-15,78723.0
BURGLARY NON RESIDENCE        ,Burglary,19-May-15,9307 LOST BRIDGE LN                                                                                 ,25-Jun-15,78748.0
BURGLARY OF RESIDENCE         ,Burglary,23-Nov-15,8700 PRIMROSE LN                                                                                    ,25-Nov-15,78757.0
THEFT                         ,Theft,28-Sep-15,E 6TH ST / SAN JACINTO BLVD                                                                         ,6-Oct-15,78701.0
THEFT                         ,Theft,14-Sep-15,4801 FREIDRICH LN                                                                                   ,15-Sep-15,78744.0
BURGLARY OF RESIDENCE         ,Burglary,14-Jul-15,916 E 39TH ST                                                                                       ,21-Jul-15,78751.0
AGG ASSAULT                   ,Agg Assault,12-Dec-15,11400 N IH 35 NB                                                                                    ,,78753.0
THEFT                         ,Theft,8-Dec-15,2308 WICKERSHAM LN                                                                                  ,24-Feb-16,78741.0
BURGLARY OF VEHICLE           ,Theft,30-Mar-15,10220 METROPOLITAN DR                                                                               ,2-Apr-15,78758.0
AUTO THEFT                    ,Auto Theft,22-Apr-15,4320 S CONGRESS AVE                                                                                 ,28-Apr-15,78745.0
THEFT                         ,Theft,21-Jul-15,9323 MANCHACA RD                                                                                    ,11-Aug-15,78748.0
THEFT                         ,Theft,12-Aug-15,6308 OLD HARBOR LN                                                                                  ,15-Sep-15,78739.0
BURGLARY OF VEHICLE           ,Theft,24-Dec-15,6603 N IH 35 SVRD NB                                                                                ,11-Jan-16,78752.0
BURGLARY OF VEHICLE           ,Theft,27-Jul-15,9715 N FM 620 RD                                                                                    ,4-Aug-15,78726.0
BURGLARY NON RESIDENCE        ,Burglary,21-May-15,937 REINLI ST                                                                                       ,9-Jun-15,78751.0
THEFT BY SHOPLIFTING          ,Theft,9-May-15,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,,78746.0
BURGLARY OF RESIDENCE         ,Burglary,29-Apr-15,1311 HARVEY ST                                                                                      ,4-May-15,78702.0
BURGLARY OF VEHICLE           ,Theft,19-Sep-15,11915 STONEHOLLOW DR                                                                                ,21-Sep-15,78758.0
THEFT BY SHOPLIFTING          ,Theft,27-Nov-15,863 AIRPORT BLVD                                                                                    ,19-Jan-16,78721.0
THEFT BY SHOPLIFTING          ,Theft,16-Feb-15,2300 W BEN WHITE BLVD EB                                                                            ,24-Feb-15,78745.0
AGG ROBBERY/DEADLY WEAPON     ,Robbery,6-Nov-15,E RIVERSIDE                                                                                         ,5-Jan-16,
BURGLARY OF RESIDENCE         ,Burglary,16-Nov-15,13308 VIZQUEL LOOP                                                                                  ,20-Nov-15,78617.0
THEFT BY SHOPLIFTING          ,Theft,17-Aug-15,500 CANYON RIDGE DR                                                                                 ,9-Oct-15,78753.0
THEFT BY SHOPLIFTING          ,Theft,28-Jan-15,710 E BEN WHITE BLVD EB                                                                             ,28-Jan-15,78745.0
AUTO THEFT                    ,Auto Theft,19-Sep-15,2508 E RIVERSIDE DR                                                                                 ,20-Sep-15,78741.0
THEFT                         ,Theft,26-Feb-15,811 E 11TH ST                                                                                       ,10-Mar-15,78702.0
BURGLARY OF VEHICLE           ,Theft,10-Jun-15,2208 ZACH SCOTT ST                                                                                  ,11-Jun-15,78723.0
BURGLARY OF VEHICLE           ,Theft,28-Oct-15,7201 WOOD HOLLOW DR                                                                                 ,29-Oct-15,78731.0
BURGLARY OF VEHICLE           ,Theft,27-Oct-15,5210 S IH 35 SVRD SB                                                                                ,29-Oct-15,78745.0
BURGLARY OF VEHICLE           ,Theft,31-Jul-15,2412 MARCUS ABRAMS BLVD                                                                             ,5-Aug-15,78748.0
BURGLARY OF VEHICLE           ,Theft,24-Aug-15,2302 E WILLIAM CANNON DR                                                                            ,25-Aug-15,78744.0
THEFT OF BICYCLE              ,Theft,23-May-15,7685 NORTHCROSS DR                                                                                  ,26-May-15,78757.0
THEFT                         ,Theft,2-Jan-15,105 W STASSNEY LN                                                                                   ,2-Jan-15,78745.0
THEFT OF BICYCLE              ,Theft,9-May-15,800 W 38TH ST                                                                                       ,12-May-15,78751.0
BURGLARY OF RESIDENCE         ,Burglary,5-Oct-15,2946 SUSSEX GARDENS LN                                                                              ,7-Oct-15,78748.0
BURGLARY OF VEHICLE           ,Theft,11-Apr-15,2505 LONGVIEW ST                                                                                    ,13-Apr-15,78705.0
BURGLARY OF RESIDENCE         ,Burglary,27-Mar-15,1401 TERRAPIN CT                                                                                    ,22-Apr-15,78746.0
THEFT                         ,Theft,23-Jul-15,7112 ED BLUESTEIN BLVD SB                                                                           ,19-Aug-15,78723.0
AUTO THEFT                    ,Auto Theft,14-Dec-15,401 LITTLE TEXAS LN                                                                                 ,15-Dec-15,78745.0
THEFT                         ,Theft,9-Sep-15,1603 S CONGRESS AVE                                                                                 ,12-Oct-15,78704.0
THEFT                         ,Theft,16-Dec-15,1000 COLLINWOOD WEST DR                                                                             ,,78753.0
THEFT                         ,Theft,1-Aug-15,2607 S IH 35 SVRD NB                                                                                ,8-Oct-15,78741.0
THEFT OF VEHICLE/OTHER        ,Theft,18-Oct-15,12217 ROXIE DR                                                                                      ,2-Nov-15,78729.0
BURGLARY OF VEHICLE           ,Theft,2-Jan-15,4710 E 5TH ST                                                                                       ,6-Feb-15,78702.0
BURGLARY OF VEHICLE           ,Theft,13-Sep-15,8200 CAMERON RD                                                                                     ,14-Sep-15,78753.0
BURGLARY OF RESIDENCE         ,Burglary,22-Sep-15,1400 E RUNDBERG LN                                                                                  ,29-Sep-15,78753.0
