GO Highest Offense Desc,Highest NIBRS/UCR Offense Description,GO Report Date,GO Location,Clearance Date,GO Location Zip
BURGLARY OF RESIDENCE         ,Burglary,1-Dec-16,6417 ORANGE BLOSSOM WAY                                                                             ,2-Dec-16,78744.0
BURGLARY NON RESIDENCE        ,Burglary,25-Dec-16,1748 OHLEN RD                                                                                       ,23-Jan-17,78757.0
BURGLARY NON RESIDENCE        ,Burglary,10-Sep-16,9600 S IH 35 SVRD SB                                                                                ,16-Sep-16,78748.0
BURGLARY OF VEHICLE           ,Theft,24-Sep-16,1434 W WELLS BRANCH PKWY                                                                            ,26-Sep-16,78660.0
THEFT OF AUTO PARTS           ,Theft,12-Feb-16,8210 RESEARCH BLVD SVRD SB                                                                          ,24-Feb-16,78757.0
AUTO THEFT                    ,Auto Theft,16-Apr-16,11900 HOBBY HORSE CT                                                                                ,22-Apr-16,78758.0
THEFT                         ,Theft,20-Jun-16,3533 FITZROY AVE                                                                                    ,5-Jul-16,78748.0
BURGLARY OF VEHICLE           ,Theft,8-Nov-16,6701 BURNET RD                                                                                      ,9-Nov-16,78757.0
THEFT                         ,Theft,28-May-16,3311 ESPERANZA XING                                                                                 ,28-May-16,78758.0
BURGLARY OF VEHICLE           ,Theft,2-Jun-16,6701 LAKEWOOD DR                                                                                    ,6-Jul-16,78731.0
THEFT                         ,Theft,5-Dec-16,1144 AIRPORT BLVD                                                                                   ,2-Feb-17,78702.0
BURGLARY OF VEHICLE           ,Theft,8-May-16,400 W LIVE OAK ST                                                                                   ,,78704.0
BURGLARY OF VEHICLE           ,Theft,5-Jul-16,ONION ST / E 5TH ST                                                                                 ,9-Aug-16,78702.0
THEFT                         ,Theft,6-Aug-16,4501 GUADALUPE ST                                                                                   ,6-Sep-16,78751.0
BURGLARY OF VEHICLE           ,Theft,18-Jul-16,6709 TULANE DR                                                                                      ,24-Aug-16,78723.0
THEFT BY SHOPLIFTING          ,Theft,8-Jul-16,1801 E 51ST ST                                                                                      ,14-Jul-16,78723.0
THEFT                         ,Theft,13-Jul-16,613 CONGRESS AVE                                                                                    ,25-Jul-16,78701.0
THEFT                         ,Theft,7-Sep-16,1740 TIMBER RIDGE RD                                                                                ,26-Oct-16,78741.0
THEFT                         ,Theft,22-Jun-16,7806 N CAPITAL OF TEXAS HWY NB                                                                      ,24-Jun-16,78731.0
THEFT OF BICYCLE              ,Theft,18-Oct-16,1110 FIESTA ST                                                                                      ,17-Nov-16,78702.0
THEFT                         ,Theft,20-Dec-16,8500 N IH 35 SB                                                                                     ,21-Dec-16,78753.0
THEFT OF BICYCLE              ,Theft,12-Apr-16,1919 S PLEASANT VALLEY RD                                                                           ,17-Aug-16,78741.0
BURGLARY OF VEHICLE           ,Theft,29-Feb-16,505 W 7TH ST                                                                                        ,23-Mar-16,78701.0
THEFT FROM BUILDING           ,Theft,13-Jul-16,222 WEST AVE                                                                                        ,19-Aug-16,78701.0
BURGLARY OF RESIDENCE         ,Burglary,2-Feb-16,3111 CLAWSON RD                                                                                     ,4-Feb-16,78704.0
AGG ASSAULT                   ,Agg Assault,26-Feb-16,700 TRINITY ST                                                                                      ,,78701.0
BURGLARY OF RESIDENCE         ,Burglary,29-May-16,2605 LIGHTFOOT TRL                                                                                  ,2-Jun-16,78745.0
AUTO THEFT                    ,Auto Theft,20-Jul-16,1207 LOMA DR                                                                                        ,21-Jul-16,78741.0
AUTO THEFT                    ,Auto Theft,6-Oct-16,7303 E MEADOW BEND DR                                                                               ,6-Oct-16,78724.0
THEFT                         ,Theft,19-Dec-16,1700 BURTON DR                                                                                      ,21-Feb-17,78741.0
THEFT                         ,Theft,15-Dec-16,710 E BEN WHITE BLVD SVRD WB                                                                        ,20-Dec-16,78704.0
THEFT                         ,Theft,13-May-16,7844 BURNET RD                                                                                      ,25-May-16,78757.0
THEFT                         ,Theft,16-Oct-16,700 BLOCK N IH 35 SB                                                                                ,16-Oct-16,78701.0
THEFT BY SHOPLIFTING          ,Theft,8-Mar-16,710 E BEN WHITE BLVD EB                                                                             ,16-Mar-16,78745.0
THEFT OF LICENSE PLATE        ,Theft,10-Jun-16,1515 DUNGAN LN                                                                                      ,17-Jun-16,78754.0
BURGLARY OF VEHICLE           ,Theft,21-Feb-16,4140 GOVERNORS ROW                                                                                  ,7-Jun-16,78744.0
BURGLARY OF VEHICLE           ,Theft,3-Nov-16,2101 BURTON DR                                                                                      ,29-Dec-16,78741.0
BURGLARY NON RESIDENCE        ,Burglary,25-Dec-16,1748 OHLEN RD                                                                                       ,23-Jan-17,78757.0
THEFT BY SHOPLIFTING          ,Theft,26-Feb-16,12250 RESEARCH BLVD SVRD SB                                                                         ,6-Apr-16,78759.0
THEFT                         ,Theft,22-Jul-16,10111 N LAMAR BLVD                                                                                  ,1-Aug-16,78753.0
AUTO THEFT                    ,Auto Theft,25-Oct-16,2100 WICKERSHAM LN                                                                                  ,4-Nov-16,78741.0
THEFT FROM PERSON             ,Theft,13-Aug-16,1905 GASTON PLACE DR                                                                                ,14-Aug-16,78723.0
THEFT                         ,Theft,19-Sep-16,5808 BURNET RD                                                                                      ,23-Sep-16,78756.0
AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault,19-Jun-16,4909 OLD CASTLE RD                                                                                  ,21-Jun-16,78745.0
THEFT                         ,Theft,13-Sep-16,525 N LAMAR BLVD                                                                                    ,14-Sep-16,78703.0
BURGLARY OF VEHICLE           ,Theft,11-Sep-16,1700 FARO DR                                                                                        ,25-Oct-16,78741.0
THEFT                         ,Theft,10-Jun-16,7213 ARMAGH DR                                                                                      ,10-Aug-16,78653.0
THEFT                         ,Theft,28-Dec-16,525 N LAMAR BLVD                                                                                    ,28-Dec-16,78703.0
THEFT                         ,Theft,27-Jun-16,FRAZIER AVE / GOODRICH AVE                                                                          ,28-Jun-16,78704.0
THEFT                         ,Theft,25-Jan-16,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,23-Mar-16,78746.0
BURGLARY OF VEHICLE           ,Theft,8-Jun-16,2200 S PLEASANT VALLEY RD                                                                           ,25-Jul-16,78741.0
THEFT                         ,Theft,20-Dec-16,2109 ALLRED DR                                                                                      ,10-Jan-17,78748.0
BURGLARY OF VEHICLE           ,Theft,24-Sep-16,2201 RIVERVIEW ST                                                                                   ,16-Dec-16,78702.0
THEFT                         ,Theft,21-Jan-16,8803 CLAREWOOD DR                                                                                   ,22-Mar-16,78758.0
THEFT                         ,Theft,10-May-16,901 W BEN WHITE BLVD SVRD EB                                                                        ,,78745.0
BURGLARY OF RESIDENCE         ,Burglary,6-May-16,201 EL PASO ST                                                                                      ,11-May-16,78704.0
BURGLARY OF RESIDENCE         ,Burglary,23-Dec-16,2513 PATSY PKWY                                                                                     ,28-Dec-16,78744.0
BURGLARY OF RESIDENCE         ,Burglary,1-Feb-16,1200 CRESTWOOD RD                                                                                   ,4-Feb-16,78722.0
THEFT                         ,Theft,28-Jan-16,1205 BRADBURY LN                                                                                    ,11-Feb-16,78753.0
THEFT                         ,Theft,13-Dec-16,1074 WINDY TRL                                                                                      ,14-Dec-16,78758.0
BURGLARY NON RESIDENCE        ,Burglary,29-Sep-16,610 E STASSNEY LN                                                                                   ,5-Oct-16,78745.0
BURGLARY OF VEHICLE           ,Theft,7-Jan-16,2404 BARTON SKWY                                                                                    ,11-Jan-16,78704.0
THEFT BY SHOPLIFTING          ,Theft,28-Feb-16,1801 E 51ST ST                                                                                      ,1-Mar-16,78723.0
THEFT                         ,Theft,27-Jan-16,8000 WEST GATE BLVD                                                                                 ,5-Feb-16,78745.0
BURGLARY OF VEHICLE           ,Theft,1-Jul-16,7302 FERNDALE CV                                                                                    ,6-Oct-16,78745.0
THEFT                         ,Theft,19-Jul-16,6306 SADDLER LN                                                                                     ,14-Sep-16,78724.0
THEFT                         ,Theft,20-Sep-16,3003 S LAMAR BLVD                                                                                   ,,
THEFT                         ,Theft,18-Mar-16,609 DAVIS ST                                                                                        ,5-Apr-16,78701.0
SEXUAL ASSAULT OF CHILD/OBJECT,Rape,30-Aug-16,,13-Dec-16,78757.0
BURGLARY NON RESIDENCE        ,Burglary,20-Apr-16,4904 SCARSDALE DR                                                                                   ,20-May-16,78744.0
THEFT                         ,Theft,28-Jul-16,606 W SLAUGHTER LN                                                                                  ,2-Aug-16,78748.0
AGG ASSAULT                   ,Agg Assault,30-Apr-16,1100 N IH 35 NB                                                                                     ,9-May-16,78702.0
THEFT                         ,Theft,20-Jul-16,2710 NUECES ST                                                                                      ,3-Aug-16,78705.0
BURGLARY OF VEHICLE           ,Theft,27-Jan-16,6103 MANOR RD                                                                                       ,2-Feb-16,78723.0
AUTO THEFT                    ,Auto Theft,1-Aug-16,1000 E 5TH ST                                                                                       ,1-Aug-16,78702.0
THEFT                         ,Theft,28-May-16,9414 N LAMAR BLVD                                                                                   ,,78758.0
BURGLARY OF VEHICLE           ,Theft,20-Dec-16,2101 TOWER DR                                                                                       ,21-Dec-16,78703.0
AGG ASSAULT                   ,Agg Assault,28-Dec-16,500 E 7TH ST                                                                                        ,27-Feb-17,78701.0
THEFT OF LICENSE PLATE        ,Theft,8-Aug-16,11912 ARRAN ST                                                                                      ,10-Aug-16,78754.0
BURGLARY OF VEHICLE           ,Theft,9-May-16,2815 SAN GABRIEL ST                                                                                 ,11-May-16,78705.0
THEFT                         ,Theft,8-Feb-16,1601 E ST ELMO RD                                                                                   ,9-Mar-16,78744.0
THEFT BY SHOPLIFTING          ,Theft,24-Feb-16,8000 SHOAL CREEK BLVD                                                                               ,9-Mar-16,78757.0
BURGLARY OF RESIDENCE         ,Burglary,1-Dec-16,11511 METRIC BLVD                                                                                   ,2-Dec-16,78758.0
THEFT                         ,Theft,26-Oct-16,1801 POMPTON DR                                                                                     ,2-Nov-16,78757.0
BURGLARY OF VEHICLE           ,Theft,21-Sep-16,8713 PRIMROSE LN                                                                                    ,26-Oct-16,78757.0
THEFT                         ,Theft,28-Feb-16,7025 VILLAGE CENTER DR                                                                              ,2-Mar-16,78731.0
THEFT FROM AUTO               ,Theft,26-Oct-16,8010 BRODIE LN                                                                                      ,,78749.0
BURGLARY OF VEHICLE           ,Theft,11-Apr-16,1207 RICHCREEK RD                                                                                   ,11-Apr-16,78757.0
THEFT                         ,Theft,1-Dec-16,11020 DESSAU RD                                                                                     ,5-Dec-16,78753.0
AUTO THEFT                    ,Auto Theft,7-Mar-16,11118 N LAMAR BLVD                                                                                  ,9-Mar-16,78758.0
THEFT                         ,Theft,8-Apr-16,1401 S PLEASANT VALLEY RD                                                                           ,16-May-16,78741.0
THEFT                         ,Theft,27-Sep-16,500 E 7TH ST                                                                                        ,19-Oct-16,78701.0
BURGLARY OF VEHICLE           ,Theft,6-May-16,1106 INLAND GREENS                                                                                  ,13-May-16,78758.0
AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,26-Dec-16,6911 N IH 35 SVRD NB                                                                                ,27-Dec-16,78752.0
BURGLARY OF VEHICLE           ,Theft,16-Feb-16,2610 LAKE AUSTIN BLVD                                                                               ,18-Feb-16,78703.0
AGG ASSAULT                   ,Agg Assault,9-May-16,2209 E RIVERSIDE DR                                                                                 ,,78741.0
THEFT BY SHOPLIFTING          ,Theft,21-Jul-16,9600 S IH 35 SVRD SB                                                                                ,25-Aug-16,78748.0
BURGLARY OF RESIDENCE         ,Burglary,26-Oct-16,9407 GROUSE MEADOW LN                                                                               ,26-Oct-16,78758.0
THEFT BY SHOPLIFTING          ,Theft,7-Mar-16,2300 W BEN WHITE BLVD SVRD WB                                                                       ,11-Apr-16,78704.0
AUTO THEFT                    ,Auto Theft,23-May-16,2102 TRAVIS HEIGHTS BLVD                                                                            ,24-May-16,78704.0
BURGLARY OF RESIDENCE         ,Burglary,30-Mar-16,505 W 22ND ST                                                                                       ,31-Mar-16,78705.0
THEFT                         ,Theft,12-Jul-16,525 N LAMAR BLVD                                                                                    ,28-Jul-16,78703.0
BURGLARY OF VEHICLE           ,Theft,24-Jan-16,1012 EDGECLIFF TER                                                                                  ,19-Apr-16,78704.0
THEFT                         ,Theft,22-Jul-16,10111 N LAMAR BLVD                                                                                  ,1-Aug-16,78753.0
AUTO THEFT                    ,Auto Theft,16-Jul-16,11205 PTARMIGAN DR                                                                                  ,17-Jul-16,78758.0
BURGLARY OF VEHICLE           ,Theft,21-Apr-16,4143 GOVERNORS ROW                                                                                  ,25-Apr-16,78744.0
THEFT BY SHOPLIFTING          ,Theft,2-May-16,11300 N LAMAR BLVD                                                                                  ,1-Jul-16,78758.0
THEFT BY SHOPLIFTING          ,Theft,28-Jan-16,13609 N IH 35 SVRD NB                                                                               ,9-Apr-16,78753.0
BURG NON RESIDENCE SHEDS      ,Burglary,15-Jan-16,11213 MICKELSON DR                                                                                  ,11-Mar-16,78747.0
BURGLARY OF VEHICLE           ,Theft,7-Oct-16,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,14-Oct-16,78746.0
AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,13-Jun-16,5701 SIERRA MADRE                                                                                   ,13-Jun-16,78759.0
BURGLARY OF VEHICLE           ,Theft,29-Nov-16,3909 S LAMAR BLVD NB                                                                                ,14-Dec-16,78704.0
THEFT                         ,Theft,15-Jan-16,1501 ARIAL DR                                                                                       ,28-Jan-16,78753.0
THEFT                         ,Theft,19-Feb-16,8801 RESEARCH BLVD SVRD NB                                                                          ,,78758.0
BURGLARY OF RESIDENCE         ,Burglary,16-Feb-16,12424 RESEARCH BLVD SB                                                                              ,18-Feb-16,78759.0
RAPE                          ,Rape,8-Aug-16,,9-Aug-16,78748.0
THEFT BY SHOPLIFTING          ,Theft,15-Mar-16,11200 LAKELINE MALL DR                                                                              ,,78613.0
AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,6-Dec-16,6704 MELAVA CT                                                                                      ,6-Jan-17,78749.0
THEFT OF LICENSE PLATE        ,Theft,29-Jun-16,3601 E MARTIN LUTHER KING JR BLVD                                                                   ,2-Jul-16,78721.0
THEFT                         ,Theft,9-Feb-16,1201 W 38TH ST                                                                                      ,10-Feb-16,78705.0
BURGLARY NON RESIDENCE        ,Burglary,7-Sep-16,6701 N LAMAR BLVD                                                                                   ,,78752.0
BURGLARY OF VEHICLE           ,Theft,30-Aug-16,9601 MIDDLE FISKVILLE RD                                                                            ,13-Sep-16,78753.0
BURGLARY OF VEHICLE           ,Theft,25-Feb-16,1100 S LAMAR BLVD                                                                                   ,2-Mar-16,78704.0
THEFT                         ,Theft,27-Mar-16,3200 S LAMAR BLVD                                                                                   ,29-Mar-16,78704.0
