GO Highest Offense Desc,Highest NIBRS/UCR Offense Description,GO Report Date,GO Location,Clearance Date,GO Location Zip
BURGLARY OF VEHICLE           ,Theft,4-Sep-16,6803 WENTWORTH DR                                                                                   ,14-Feb-17,78724.0
THEFT BY SHOPLIFTING          ,Theft,21-Aug-16,710 E BEN WHITE BLVD SVRD WB                                                                        ,21-Aug-16,78704.0
THEFT                         ,Theft,25-Jun-16,1000 E 41ST ST                                                                                      ,25-Jun-16,78751.0
BURGLARY NON RESIDENCE        ,Burglary,27-Apr-16,2707 O NEAL LN                                                                                      ,24-Jun-16,78759.0
THEFT OF BICYCLE              ,Theft,17-Dec-16,1700 TERI RD                                                                                        ,12-Jan-17,78744.0
BURGLARY OF RESIDENCE         ,Burglary,29-Nov-16,4713 ROUNDUP TRL                                                                                    ,30-Nov-16,78745.0
THEFT                         ,Theft,22-Mar-16,E 7TH ST / TRINITY ST                                                                               ,24-Mar-16,78701.0
THEFT                         ,Theft,20-Feb-16,300 E 6TH ST                                                                                        ,23-Feb-16,78701.0
THEFT                         ,Theft,3-Nov-16,10300 N IH 35 SVRD SB                                                                               ,25-Nov-16,78753.0
THEFT BY SHOPLIFTING          ,Theft,27-Dec-16,1144 AIRPORT BLVD                                                                                   ,1-Feb-17,78702.0
BURGLARY NON RESIDENCE        ,Burglary,20-Jul-16,405 E BEN WHITE BLVD SVRD EB                                                                        ,26-Jul-16,78745.0
THEFT BY SHOPLIFTING          ,Theft,2-Nov-16,2525 W ANDERSON LN                                                                                  ,8-Nov-16,78757.0
AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault,12-Jun-16,1123 BROOKSWOOD AVE                                                                                 ,28-Jun-16,78721.0
AUTO THEFT                    ,Auto Theft,29-May-16,3002 BURLESON RD                                                                                    ,30-May-16,78741.0
THEFT OF BICYCLE              ,Theft,23-Aug-16,2408 MANOR RD                                                                                       ,10-Oct-16,78722.0
BREACH OF COMPUTER SECURITY   ,Theft,3-Oct-16,7206 GUAVA CV                                                                                       ,,78750.0
THEFT                         ,Theft,7-Jan-16,2103 W ANDERSON LN                                                                                  ,19-Jan-16,78757.0
RAPE                          ,Rape,8-Apr-16,,6-Jul-16,78748.0
AUTO THEFT                    ,Auto Theft,25-Jul-16,2807 CAMERON LOOP                                                                                   ,25-Jul-16,78745.0
AGG ASSAULT                   ,Agg Assault,8-May-16,10701 N LAMAR BLVD                                                                                  ,13-May-16,78753.0
BURGLARY OF VEHICLE           ,Theft,5-Dec-16,5004 HEDGEWOOD DR                                                                                   ,14-Dec-16,78745.0
THEFT                         ,Theft,29-Sep-16,9300 S IH 35 SVRD SB                                                                                ,30-Sep-16,78748.0
BURGLARY OF RESIDENCE         ,Burglary,15-Dec-16,7600 NORTHCREST BLVD                                                                                ,15-Dec-16,78752.0
THEFT                         ,Theft,29-Feb-16,525 N LAMAR BLVD                                                                                    ,9-Mar-16,78703.0
BURGLARY OF VEHICLE           ,Theft,26-Jan-16,4001 S LAMAR BLVD NB                                                                                ,1-Feb-16,78704.0
THEFT BY SHOPLIFTING          ,Theft,25-Sep-16,5431 N IH 35 SVRD NB                                                                                ,25-Sep-16,78723.0
THEFT                         ,Theft,3-Aug-16,525 N LAMAR BLVD                                                                                    ,3-Aug-16,78703.0
AGG ASSAULT                   ,Agg Assault,27-Nov-16,8007 BURNET RD                                                                                      ,8-Dec-16,78757.0
BURGLARY OF VEHICLE           ,Theft,16-Nov-16,3404 S 2ND ST                                                                                       ,7-Dec-16,78704.0
THEFT FROM BUILDING           ,Theft,17-Mar-16,1314 E OLTORF ST                                                                                    ,20-Apr-16,78704.0
THEFT BY SHOPLIFTING          ,Theft,1-Feb-16,9901 BRODIE LN                                                                                      ,2-Feb-16,78748.0
THEFT                         ,Theft,16-Jun-16,2508 E RIVERSIDE DR                                                                                 ,24-Jun-16,78741.0
THEFT                         ,Theft,22-Jul-16,2900 E 12TH ST                                                                                      ,14-Sep-16,78702.0
AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,14-Nov-16,9200 NORTH PLZ                                                                                      ,5-Dec-16,78753.0
AUTO THEFT                    ,Auto Theft,14-Aug-16,12621 HYMEADOW DR                                                                                   ,14-Aug-16,78729.0
BURGLARY OF VEHICLE           ,Theft,13-Dec-16,4601 N LAMAR BLVD                                                                                   ,27-Dec-16,78751.0
RAPE                          ,Rape,1-Apr-16,,27-Apr-16,78741.0
THEFT                         ,Theft,5-Feb-16,9828 GREAT HILLS TRL                                                                                ,,78759.0
THEFT                         ,Theft,15-Feb-16,8805 NORTH PLZ                                                                                      ,24-Feb-16,78753.0
THEFT                         ,Theft,26-Oct-16,5330 N IH 35 SVRD SB                                                                                ,16-Nov-16,78751.0
THEFT FROM AUTO               ,Theft,21-Apr-16,8525 SHOAL CREEK BLVD                                                                               ,26-Apr-16,78757.0
THEFT BY SHOPLIFTING          ,Theft,3-Oct-16,3407 W WELLS BRANCH PKWY                                                                            ,6-Oct-16,78727.0
AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,27-Sep-16,3603 SOUTHRIDGE DR                                                                                  ,27-Sep-16,78704.0
AUTO THEFT                    ,Auto Theft,4-Oct-16,7920 SAN FELIPE BLVD                                                                                ,5-Oct-16,78729.0
THEFT                         ,Theft,19-Apr-16,300 E HUNTLAND DR                                                                                   ,20-Apr-16,78752.0
THEFT                         ,Theft,8-May-16,2508 E RIVERSIDE DR                                                                                 ,8-Sep-16,78741.0
BURGLARY OF RESIDENCE         ,Burglary,7-Jul-16,4609 GLADE LINE DR                                                                                  ,11-Jul-16,78744.0
BURGLARY OF RESIDENCE         ,Burglary,3-Oct-16,1719 SYLVAN DR                                                                                      ,5-Oct-16,78741.0
THEFT                         ,Theft,21-Dec-16,2200 ANDREW ZILKER RD                                                                               ,29-Dec-16,78746.0
AUTO THEFT                    ,Auto Theft,27-Apr-16,3007 BIRDWOOD CIR                                                                                   ,28-Apr-16,78704.0
THEFT                         ,Theft,2-Dec-16,501 E 8TH ST                                                                                        ,5-Dec-16,78701.0
BURGLARY OF RESIDENCE         ,Burglary,1-Oct-16,5601 ALOMAR CV                                                                                      ,16-Feb-17,78617.0
AGG ROBBERY/DEADLY WEAPON     ,Robbery,18-Dec-16,6310 E BEN WHITE BLVD SVRD WB                                                                       ,18-Feb-17,78741.0
BURGLARY OF COIN-OP MACHINE   ,Theft,23-Feb-16,8901 N LAMAR BLVD                                                                                   ,13-Apr-16,78753.0
BURGLARY OF RESIDENCE         ,Burglary,23-Aug-16,11013 PRAIRIE DOVE CIR                                                                              ,29-Aug-16,78758.0
AUTO THEFT                    ,Auto Theft,17-Feb-16,1133 1/2 POQUITO ST                                                                                 ,17-Feb-16,78702.0
THEFT                         ,Theft,25-Jan-16,E MARTIN LUTHER KING JR BLVD / AIRPORT BLVD                                                         ,24-Feb-16,78723.0
BURGLARY OF VEHICLE           ,Theft,23-Mar-16,1313 TILLERFIELD TRL                                                                                ,24-Mar-16,78748.0
BURGLARY NON RESIDENCE        ,Burglary,6-Sep-16,9600 S IH 35 SVRD SB                                                                                ,13-Sep-16,78748.0
THEFT BY SHOPLIFTING          ,Theft,1-Nov-16,1201 BARBARA JORDAN BLVD                                                                            ,16-Nov-16,78723.0
THEFT FROM PERSON             ,Theft,13-Mar-16,312 COMAL ST                                                                                        ,13-Apr-16,78702.0
AGG ROBBERY/DEADLY WEAPON     ,Robbery,12-Sep-16,3600 BLOCK MUNSON ST                                                                                ,20-Jan-17,78721.0
THEFT BY SHOPLIFTING          ,Theft,15-Mar-16,710 E BEN WHITE BLVD SVRD WB                                                                        ,,78704.0
THEFT BY SHOPLIFTING          ,Theft,29-Oct-16,500 CANYON RIDGE DR                                                                                 ,1-Nov-16,78753.0
ROBBERY BY ASSAULT            ,Robbery,2-Oct-16,900 E 7TH ST                                                                                        ,28-Nov-16,78702.0
THEFT                         ,Theft,17-Feb-16,405 KENNISTON DR                                                                                    ,1-Mar-16,78752.0
BURGLARY OF RESIDENCE         ,Burglary,27-Nov-16,2606 WHELESS LN                                                                                     ,17-Jan-17,78723.0
THEFT OF BICYCLE              ,Theft,2-Mar-16,1500 CROSSING PL                                                                                    ,6-Apr-16,78741.0
THEFT BY SHOPLIFTING          ,Theft,5-Feb-16,5017 W US 290 HWY SVRD EB                                                                           ,11-Feb-16,78749.0
BURGLARY OF VEHICLE           ,Theft,26-Jul-16,8433 BURNET RD                                                                                      ,9-Aug-16,78757.0
THEFT OF HEAVY EQUIPMENT      ,Theft,17-Feb-16,13400 BLOCK LYNDHURST ST                                                                            ,18-Feb-16,78729.0
THEFT                         ,Theft,29-Aug-16,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,13-Sep-16,78746.0
BURGLARY OF RESIDENCE         ,Burglary,10-Jan-16,9804 CHILDRESS DR                                                                                   ,14-Jan-16,78753.0
BURGLARY OF VEHICLE           ,Theft,1-Feb-16,3713 TUDOR BLVD                                                                                     ,3-Feb-16,78759.0
AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,10-Sep-16,810 W ST JOHNS AVE                                                                                  ,10-Sep-16,78757.0
THEFT                         ,Theft,12-Jul-16,PARKER LN / WOODLAND AVE                                                                            ,11-Aug-16,78741.0
BURGLARY OF VEHICLE           ,Theft,9-May-16,2021 FORD ST                                                                                        ,13-May-16,78704.0
BURGLARY OF VEHICLE           ,Theft,6-Jan-16,11503 INDIANHEAD DR                                                                                 ,8-Jan-16,78753.0
BURGLARY OF VEHICLE           ,Theft,9-Sep-16,4477 S LAMAR BLVD SVRD NB                                                                           ,30-Sep-16,78745.0
BURGLARY OF VEHICLE           ,Theft,30-Jan-16,2751 E SH 71 WB                                                                                     ,1-Mar-16,78617.0
THEFT BY SHOPLIFTING          ,Theft,11-Jan-16,12308 DESSAU RD                                                                                     ,27-Jan-16,78753.0
THEFT                         ,Theft,31-Mar-16,2509 GLEN SPRINGS WAY                                                                               ,22-Apr-16,78741.0
THEFT                         ,Theft,15-Aug-16,1800 GUADALUPE ST                                                                                   ,6-Sep-16,78701.0
THEFT                         ,Theft,17-May-16,422 E 6TH ST                                                                                        ,19-May-16,78701.0
BURGLARY OF VEHICLE           ,Theft,7-May-16,13601 ELM RIDGE LN                                                                                  ,16-May-16,78727.0
THEFT                         ,Theft,14-Jul-16,307 FARLEY DR                                                                                       ,28-Jul-16,78753.0
THEFT BY SHOPLIFTING          ,Theft,26-Jan-16,715 EXPOSITION BLVD                                                                                 ,28-Jan-16,78703.0
THEFT                         ,Theft,5-Apr-16,1030 NORWOOD PARK BLVD                                                                              ,7-Apr-16,78753.0
THEFT                         ,Theft,22-Jul-16,2900 E 12TH ST                                                                                      ,14-Sep-16,78702.0
BURGLARY NON RESIDENCE        ,Burglary,19-May-16,6712 ONDANTRA BND                                                                                   ,20-May-16,78744.0
THEFT                         ,Theft,31-Aug-16,200 SAN JACINTO BLVD                                                                                ,1-Sep-16,78701.0
AGG ASSAULT                   ,Agg Assault,28-Dec-16,500 E 7TH ST                                                                                        ,27-Feb-17,78701.0
THEFT                         ,Theft,4-Sep-16,5801 SHOALWOOD AVE                                                                                  ,7-Sep-16,78756.0
THEFT FROM PERSON             ,Theft,25-Jun-16,601 W BEN WHITE BLVD EB                                                                             ,27-Jun-16,78745.0
BURGLARY OF RESIDENCE         ,Burglary,6-Jan-16,1819 RIVER CROSSING CIR                                                                             ,7-Jan-16,78741.0
THEFT                         ,Theft,8-May-16,101 E RUNDBERG LN                                                                                   ,18-May-16,78753.0
THEFT BY SHOPLIFTING          ,Theft,24-Jun-16,1030 NORWOOD PARK BLVD                                                                              ,,78753.0
BURGLARY OF VEHICLE           ,Theft,6-Apr-16,5800 WELLINGTON DR                                                                                  ,3-May-16,78723.0
BURGLARY OF VEHICLE           ,Theft,30-Oct-16,111 W ANDERSON LN EB                                                                                ,1-Nov-16,78752.0
THEFT                         ,Theft,5-Dec-16,823 CONGRESS AVE                                                                                    ,5-Dec-16,78701.0
RAPE OF A CHILD               ,Rape,11-Sep-16,,8-Feb-17,78744.0
THEFT                         ,Theft,23-Sep-16,2604 BRIDGEWAY CT                                                                                   ,23-Sep-16,78704.0
THEFT                         ,Theft,25-Oct-16,5017 W US 290 HWY SVRD EB                                                                           ,30-Oct-16,78749.0
THEFT BY SHOPLIFTING          ,Theft,24-Nov-16,11200 LAKELINE MALL DR                                                                              ,24-Nov-16,78613.0
AGG ASSAULT                   ,Agg Assault,17-Sep-16,3708 S 2ND ST                                                                                       ,24-Sep-16,78704.0
THEFT OF BICYCLE              ,Theft,18-Mar-16,1221 S CONGRESS AVE                                                                                 ,19-Jul-16,78704.0
BURGLARY OF RESIDENCE         ,Burglary,27-Sep-16,2319 FOREST AVE                                                                                     ,27-Sep-16,78704.0
THEFT FROM PERSON             ,Theft,30-Nov-16,800 GUADALUPE ST                                                                                    ,2-Dec-16,78701.0
THEFT                         ,Theft,15-Sep-16,MANCHACA RD / W WILLIAM CANNON DR                                                                   ,,78745.0
AUTO THEFT                    ,Auto Theft,15-Jan-16,8291 SPRINGDALE RD                                                                                  ,28-Jan-16,78724.0
