,GO Primary Key,Council District,GO Highest Offense Desc,Austin_Offense_Description,GO Report Date,GO Location,Clearance Status,Clearance Date,GO District,Zip,GO Census Tract,GO X Coordinate,GO Y Coordinate,City,State,Full_Address
121,20165000115.0,3.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,2400 S CONGRESS AVE                                                                                 ,N,4-Jan-16,D,78704,13.08,3110845.0,10059841.0,Austin ,TX ,2400 S CONGRESS AVE                                                                                 Austin  TX  78704
122,20165000118.0,7.0,THEFT                         ,Theft,2-Jan-16,9200 BURNET RD                                                                                      ,N,13-Jan-16,A,78758,18.49,3118657.0,10110081.0,Austin ,TX ,9200 BURNET RD                                                                                      Austin  TX  78758
123,20165000121.0,5.0,THEFT                         ,Theft,2-Jan-16,6920 MANCHACA RD                                                                                    ,N,5-Jan-16,F,78745,17.28,3094201.0,10046427.0,Austin ,TX ,6920 MANCHACA RD                                                                                    Austin  TX  78745
124,20165000126.0,1.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,306 E 10TH ST                                                                                       ,N,4-Jan-16,G,78701,11.0,3115737.0,10071937.0,Austin ,TX ,306 E 10TH ST                                                                                       Austin  TX  78701
125,20165000130.0,2.0,THEFT                         ,Theft,2-Jan-16,3600 PRESIDENTIAL BLVD                                                                              ,N,12-Jan-16,AP,78719,9800.0,3138768.0,10047351.0,Austin ,TX ,3600 PRESIDENTIAL BLVD                                                                              Austin  TX  78719
126,20165000132.0,2.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,1912 E WILLIAM CANNON DR                                                                            ,N,6-Jan-16,F,78744,24.19,3108107.0,10041682.0,Austin ,TX ,1912 E WILLIAM CANNON DR                                                                            Austin  TX  78744
127,20165000133.0,4.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,8026 GESSNER DR                                                                                     ,N,8-Jan-16,E,78753,18.04,3126528.0,10098861.0,Austin ,TX ,8026 GESSNER DR                                                                                     Austin  TX  78753
128,20165000134.0,9.0,THEFT                         ,Theft,2-Jan-16,1700 S CONGRESS AVE                                                                                 ,N,7-Jan-16,D,78704,13.05,3111907.0,10063028.0,Austin ,TX ,1700 S CONGRESS AVE                                                                                 Austin  TX  78704
129,20165000139.0,9.0,THEFT                         ,Theft,2-Jan-16,E 6TH ST / TRINITY ST                                                                               ,N,28-Jan-16,G,78701,11.0,3115416.0,10070416.0,Austin ,TX ,E 6TH ST / TRINITY ST                                                                               Austin  TX  78701
130,20165000143.0,10.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,7102 RED MAPLE CV                                                                                   ,N,8-Jan-16,A,78759,17.55,3103558.0,10123916.0,Austin ,TX ,7102 RED MAPLE CV                                                                                   Austin  TX  78759
131,20165000144.0,5.0,THEFT                         ,Theft,2-Jan-16,2216 THORNTON RD                                                                                    ,N,5-Jan-16,D,78704,13.04,3105335.0,10062433.0,Austin ,TX ,2216 THORNTON RD                                                                                    Austin  TX  78704
132,20165000160.0,7.0,THEFT                         ,Theft,2-Jan-16,12221 N MOPAC EXPY NB                                                                               ,N,13-Jan-16,A,78758,18.5,3124418.0,10123528.0,Austin ,TX ,12221 N MOPAC EXPY NB                                                                               Austin  TX  78758
133,20165000163.0,3.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,2250 E BEN WHITE BLVD SVRD WB                                                                       ,N,19-Apr-16,H,78741,23.07,3115825.0,10051962.0,Austin ,TX ,2250 E BEN WHITE BLVD SVRD WB                                                                       Austin  TX  78741
134,20165000166.0,9.0,THEFT OF LICENSE PLATE        ,Theft,2-Jan-16,W 6TH ST / N LAMAR BLVD                                                                             ,N,6-Jan-16,G,78703,12.0,3110761.0,10071934.0,Austin ,TX ,W 6TH ST / N LAMAR BLVD                                                                             Austin  TX  78703
135,20165000171.0,7.0,THEFT                         ,Theft,2-Jan-16,12345 LAMPLIGHT VILLAGE AVE                                                                         ,N,29-Feb-16,A,78758,18.5,3127899.0,10123653.0,Austin ,TX ,12345 LAMPLIGHT VILLAGE AVE                                                                         Austin  TX  78758
136,20165000174.0,7.0,THEFT                         ,Theft,2-Jan-16,5700 BURNET RD                                                                                      ,N,13-Jan-16,B,78756,2.06,3114553.0,10094308.0,Austin ,TX ,5700 BURNET RD                                                                                      Austin  TX  78756
137,20165000177.0,4.0,THEFT OF LICENSE PLATE        ,Theft,2-Jan-16,8312 N IH 35 SVRD SB                                                                                ,N,3-Jan-16,E,78753,18.06,3128227.0,10099667.0,Austin ,TX ,8312 N IH 35 SVRD SB                                                                                Austin  TX  78753
138,20165000178.0,9.0,THEFT                         ,Theft,2-Jan-16,1812 WEST AVE                                                                                       ,N,21-Jan-16,B,78701,7.0,3113132.0,10076059.0,Austin ,TX ,1812 WEST AVE                                                                                       Austin  TX  78701
139,20165000185.0,2.0,THEFT                         ,Theft,2-Jan-16,600 W WILLIAM CANNON DR                                                                             ,N,5-Jan-16,F,78745,24.02,3101178.0,10044981.0,Austin ,TX ,600 W WILLIAM CANNON DR                                                                             Austin  TX  78745
140,20165000189.0,8.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,6705 COVERED BRIDGE DR                                                                              ,N,4-Jan-16,D,78736,17.69,3066575.0,10062557.0,Austin ,TX ,6705 COVERED BRIDGE DR                                                                              Austin  TX  78736
141,20165000192.0,2.0,THEFT OF BICYCLE              ,Theft,2-Jan-16,5500 PEPPERTREE PKWY                                                                                ,N,5-Jan-16,F,78744,24.11,3111593.0,10044597.0,Austin ,TX ,5500 PEPPERTREE PKWY                                                                                Austin  TX  78744
142,20165000197.0,9.0,THEFT BY SHOPLIFTING          ,Theft,2-Jan-16,1814 GUADALUPE ST                                                                                   ,N,15-Jan-16,B,78701,7.0,3114477.0,10075615.0,Austin ,TX ,1814 GUADALUPE ST                                                                                   Austin  TX  78701
143,20165000199.0,3.0,THEFT                         ,Theft,2-Jan-16,1500 E 6TH ST                                                                                       ,N,16-Jan-16,G,78702,9.02,3119252.0,10069180.0,Austin ,TX ,1500 E 6TH ST                                                                                       Austin  TX  78702
144,20165000202.0,9.0,THEFT                         ,Theft,2-Jan-16,115 SAN JACINTO BLVD                                                                                ,N,6-Jan-16,G,78701,11.0,3114695.0,10069046.0,Austin ,TX ,115 SAN JACINTO BLVD                                                                                Austin  TX  78701
145,20168000019.0,9.0,THEFT OF BICYCLE              ,Theft,2-Jan-16,1620 E RIVERSIDE DR                                                                                 ,N,26-Apr-16,H,78741,23.04,3118447.0,10062526.0,Austin ,TX ,1620 E RIVERSIDE DR                                                                                 Austin  TX  78741
146,20168000020.0,10.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,3505 W 35TH ST                                                                                      ,N,14-Jan-16,B,78703,16.04,3105243.0,10087231.0,Austin ,TX ,3505 W 35TH ST                                                                                      Austin  TX  78703
147,20168000021.0,9.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,1400 RIO GRANDE ST                                                                                  ,N,14-Jan-16,B,78701,7.0,3112968.0,10074431.0,Austin ,TX ,1400 RIO GRANDE ST                                                                                  Austin  TX  78701
148,20168000022.0,5.0,THEFT OF BICYCLE              ,Theft,2-Jan-16,4009 VICTORY DR                                                                                     ,N,5-Jan-16,D,78704,20.04,3099793.0,10058337.0,Austin ,TX ,4009 VICTORY DR                                                                                     Austin  TX  78704
149,20168000047.0,9.0,THEFT                         ,Theft,2-Jan-16,2305 WINDSOR RD                                                                                     ,N,21-Jan-16,B,78703,16.05,3109972.0,10077953.0,Austin ,TX ,2305 WINDSOR RD                                                                                     Austin  TX  78703
150,20168000131.0,9.0,THEFT                         ,Theft,2-Jan-16,E 6TH ST / NECHES ST                                                                                ,N,26-Jan-16,G,78701,11.0,3115762.0,10070320.0,Austin ,TX ,E 6TH ST / NECHES ST                                                                                Austin  TX  78701
152,201630043.0,5.0,THEFT                         ,Theft,3-Jan-16,1342 LAMAR SQUARE DR                                                                                ,N,5-Jan-16,D,78704,13.03,3107726.0,10065373.0,Austin ,TX ,1342 LAMAR SQUARE DR                                                                                Austin  TX  78704
155,201630056.0,3.0,BURGLARY OF VEHICLE           ,Theft,3-Jan-16,2425 ELMONT DR                                                                                      ,C,3-Jan-16,H,78741,23.04,3121195.0,10060509.0,Austin ,TX ,2425 ELMONT DR                                                                                      Austin  TX  78741
157,201630146.0,7.0,THEFT                         ,Theft,3-Jan-16,2600 GRACY FARMS LN                                                                                 ,N,19-Jan-16,A,78758,18.49,3123063.0,10120908.0,Austin ,TX ,2600 GRACY FARMS LN                                                                                 Austin  TX  78758
158,201630195.0,1.0,THEFT                         ,Theft,3-Jan-16,1815 CORONADO HILLS DR                                                                              ,N,13-Jan-16,I,78752,18.11,3132414.0,10091710.0,Austin ,TX ,1815 CORONADO HILLS DR                                                                              Austin  TX  78752
160,201630390.0,4.0,THEFT                         ,Theft,3-Jan-16,1030 NORWOOD PARK BLVD                                                                              ,C,22-Jan-16,I,78753,18.13,3129997.0,10096983.0,Austin ,TX ,1030 NORWOOD PARK BLVD                                                                              Austin  TX  78753
161,201630404.0,9.0,THEFT                         ,Theft,3-Jan-16,2300 GUADALUPE ST                                                                                   ,N,12-Jan-16,B,78705,6.04,3114430.0,10077498.0,Austin ,TX ,2300 GUADALUPE ST                                                                                   Austin  TX  78705
166,201630480.0,4.0,THEFT                         ,Theft,3-Jan-16,1030 NORWOOD PARK BLVD                                                                              ,N,4-Jan-16,I,78753,18.13,3129997.0,10096983.0,Austin ,TX ,1030 NORWOOD PARK BLVD                                                                              Austin  TX  78753
