,Offense_Description,Report_Date,Full_Address
59,Theft: All Other Larceny,05/20/2014 12:00:00 AM,722 GREAT BRITAIN BLVD                                                                              Austin TX 78748
60,Theft: All Other Larceny,11/29/2014 12:00:00 AM,200 LAVACA ST                                                                                       Austin TX 78701
61,Theft: All Other Larceny,03/18/2014 12:00:00 AM,E RIVERSIDE TO IH 35 NB RAMP / N IH 35 NB                                                           Austin TX 78702
62,Theft: Auto Theft,08/18/2014 12:00:00 AM,5604 MANOR RD                                                                                       Austin TX 78723
63,Theft: BOV,05/17/2014 12:00:00 AM,1824 S IH 35 SB                                                                                     Austin TX 78704
64,Theft: All Other Larceny,12/17/2014 12:00:00 AM,11411 RESEARCH BLVD NB                                                                              Austin TX 78759
65,Theft: BOV,01/09/2014 12:00:00 AM,6505 SHIRLEY AVE                                                                                    Austin TX 78752
66,Theft: BOV,06/10/2014 12:00:00 AM,2101 E ST ELMO RD                                                                                   Austin TX 78744
67,Theft: BOV,11/16/2014 12:00:00 AM,301 E 8TH ST                                                                                        Austin TX 78701
68,Theft: Auto Theft,01/13/2014 12:00:00 AM,1220 CAMINO LA COSTA                                                                                Austin TX 78752
69,Theft: All Other Larceny,08/05/2014 12:00:00 AM,500 W 16TH ST                                                                                       Austin TX 78701
70,Burglary: Breaking & Entering,07/31/2014 12:00:00 AM,7712 GAULT ST                                                                                       Austin TX 78757
71,Theft: All Other Larceny,01/29/2014 12:00:00 AM,2422 WESTERN TRAILS BLVD                                                                            Austin TX 78745
72,Theft: BOV,04/27/2014 12:00:00 AM,820 BLACKSON AVE                                                                                    Austin TX 78752
73,Theft: BOV,12/24/2014 12:00:00 AM,12118 WALNUT PARK XING                                                                              Austin TX 78753
74,Burglary: Breaking & Entering,05/17/2014 12:00:00 AM,5212 DIWA CV                                                                                        Austin TX 78617
75,Theft: Shoplifting,03/19/2014 12:00:00 AM,1701 BRIARCLIFF BLVD                                                                                Austin TX 78723
76,Theft: BOV,07/07/2014 12:00:00 AM,6708 HANEY DR                                                                                       Austin TX 78723
77,Theft: All Other Larceny,06/03/2014 12:00:00 AM,1401 S PLEASANT VALLEY RD                                                                           Austin TX 78741
78,Theft: Shoplifting,03/27/2014 12:00:00 AM,5621 N IH 35 NB                                                                                     Austin TX 78723
79,Theft: All Other Larceny,11/07/2014 12:00:00 AM,6016 DILLARD CIR                                                                                    Austin TX 78752
80,Robbery,07/14/2014 12:00:00 AM,2538 ELMONT DR                                                                                      Austin TX 78741
81,Theft: Auto Theft,01/13/2014 12:00:00 AM,1912 E WILLIAM CANNON DR                                                                            Austin TX 78744
82,Theft: All Other Larceny,11/10/2014 12:00:00 AM,2810 HEMPHILL PARK                                                                                  Austin TX 78705
83,Theft: BOV,07/19/2014 12:00:00 AM,15008 CORDERO DR                                                                                    Austin TX 78717
84,Theft: Auto Parts,10/07/2014 12:00:00 AM,1808 E 3RD ST                                                                                       Austin TX 78702
85,Theft: All Other Larceny,04/21/2014 12:00:00 AM,7100 BLOCK N IH 35 NB                                                                               Austin TX 78752
86,Theft: All Other Larceny,04/13/2014 12:00:00 AM,4715 LOUIS AVE                                                                                      Austin TX 78721
87,Theft: BOV,01/30/2014 12:00:00 AM,7130 HOWERINGTON CIR                                                                                Austin TX 78724
