,Offense_Description,Report_Date,Full_Address
427,Theft: All Other Larceny,11/22/2014 12:00:00 AM,1824 S IH 35 SVRD SB                                                                                Austin TX 78704
428,Theft: BOV,07/02/2014 12:00:00 AM,8038 EXCHANGE DR                                                                                    Austin TX 78754
429,Theft: Auto Theft,06/20/2014 12:00:00 AM,1401 E RUNDBERG LN                                                                                  Austin TX 78753
430,Theft: All Other Larceny,07/06/2014 12:00:00 AM,709 LAMAR PL                                                                                        Austin TX 78752
431,Theft: All Other Larceny,10/25/2014 12:00:00 AM,2105 E 8TH ST                                                                                       Austin TX 78702
432,Theft: Shoplifting,07/16/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
433,Burglary: Breaking & Entering,10/06/2014 12:00:00 AM,2701 CASCADE DR                                                                                     Austin TX 78757
434,Theft: Auto Theft,01/16/2014 12:00:00 AM,WOODWARD ST / E BEN WHITE BLVD SVRD WB                                                              Austin TX 78741
436,Theft: All Other Larceny,04/08/2014 12:00:00 AM,1817 E OLTORF ST                                                                                    Austin TX 78741
437,Theft: All Other Larceny,06/17/2014 12:00:00 AM,1200 BARTON HILLS DR                                                                                Austin TX 78704
438,Theft: BOV,11/12/2014 12:00:00 AM,9503 RESEARCH BLVD NB                                                                               Austin TX 78759
439,Aggravated Assault,08/16/2014 12:00:00 AM,10930 LAKELINE MALL DR                                                                              Austin TX 78717
440,Theft: Pocket Picking,02/02/2014 12:00:00 AM,4800 BLOCK CRAIGWOOD DR                                                                             Austin TX 78725
441,Robbery,07/13/2014 12:00:00 AM,BURTON DR / VALLEY HILL CIR                                                                         Austin TX 78741
442,Burglary: Breaking & Entering,01/30/2014 12:00:00 AM,4632 S LAMAR BLVD SB                                                                                Austin TX 78735
443,Robbery,01/28/2014 12:00:00 AM,1200 RED RIVER ST                                                                                   Austin TX 78701
444,Theft: BOV,05/17/2014 12:00:00 AM,1405 WERNER HILL DR                                                                                 Austin TX 78753
445,Theft: Shoplifting,06/21/2014 12:00:00 AM,12900 N IH 35 SB                                                                                    Austin TX 78753
446,Theft: Auto Theft,06/30/2014 12:00:00 AM,2601 SCOFIELD RIDGE PKWY                                                                            Austin TX 78727
447,Aggravated Assault,05/09/2014 12:00:00 AM,2210 S 2ND ST                                                                                       Austin TX 78704
448,Theft: BOV,06/16/2014 12:00:00 AM,2504 VASSAL DR                                                                                      Austin TX 78748
449,Theft: Auto Theft,06/23/2014 12:00:00 AM,8310 RESEARCH BLVD SVRD SB                                                                          Austin TX 78757
450,Theft: All Other Larceny,08/09/2014 12:00:00 AM,600 CONGRESS AVE                                                                                    Austin TX 78701
451,Theft: Shoplifting,04/12/2014 12:00:00 AM,13609 N IH 35 SVRD NB                                                                               Austin TX 78753
452,Theft: All Other Larceny,05/05/2014 12:00:00 AM,209 W 27TH ST                                                                                       Austin TX 78705
453,Theft: All Other Larceny,06/19/2014 12:00:00 AM,8440 BURNET RD                                                                                      Austin TX 78757
454,Theft: BOV,11/25/2014 12:00:00 AM,3603 SOUTHRIDGE DR                                                                                  Austin TX 78704
455,Theft: All Other Larceny,05/27/2014 12:00:00 AM,3101 DOLPHIN DR                                                                                     Austin TX 78704
456,Theft: All Other Larceny,10/07/2014 12:00:00 AM,1807 W SLAUGHTER LN                                                                                 Austin TX 78748
457,Theft: BOV,07/20/2014 12:00:00 AM,11411 RESEARCH BLVD NB                                                                              Austin TX 78759
458,Burglary: Breaking & Entering,11/30/2014 12:00:00 AM,505 W YAGER LN                                                                                      Austin TX 78753
459,Theft: BOV,11/10/2014 12:00:00 AM,1304 MARIPOSA DR                                                                                    Austin TX 78704
460,Theft: All Other Larceny,09/13/2014 12:00:00 AM,4900 MUELLER BLVD                                                                                   Austin TX 78723
461,Theft: All Other Larceny,12/29/2014 12:00:00 AM,9215 INDEPENDENCE LOOP                                                                              Austin TX 78748
462,Theft: BOV,09/14/2014 12:00:00 AM,4414 EAGLES LANDING DR                                                                              Austin TX 78735
464,Theft: All Other Larceny,10/03/2014 12:00:00 AM,7201 S CONGRESS AVE                                                                                 Austin TX 78745
465,Theft: BOV,02/14/2014 12:00:00 AM,9505 SANFORD DR                                                                                     Austin TX 78748
467,Theft: BOV,10/29/2014 12:00:00 AM,405 ARBOR LN                                                                                        Austin TX 78745
468,Theft: All Other Larceny,06/03/2014 12:00:00 AM,1401 LORRAINE LOOP                                                                                  Austin TX 78758
469,Burglary: Breaking & Entering,11/16/2014 12:00:00 AM,2408 E 12TH ST                                                                                      Austin TX 78702
470,Theft: Shoplifting,01/15/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
471,Theft: All Other Larceny,02/16/2014 12:00:00 AM,2237 E RIVERSIDE DR                                                                                 Austin TX 78741
472,Theft: BOV,01/25/2014 12:00:00 AM,3504 KING ST                                                                                        Austin TX 78705
473,Theft: BOV,12/11/2014 12:00:00 AM,5201 AIRPORT BLVD                                                                                   Austin TX 78751
474,Robbery,04/12/2014 12:00:00 AM,3801 N LAMAR BLVD                                                                                   Austin TX 78751
475,Theft: BOV,03/13/2014 12:00:00 AM,1915 E RIVERSIDE DR                                                                                 Austin TX 78741
476,Theft: BOV,11/21/2014 12:00:00 AM,11900 KNIGHTS BRG                                                                                   Austin TX 78759
477,Theft: All Other Larceny,02/05/2014 12:00:00 AM,1402 W BRAKER LN                                                                                    Austin TX 78758
478,Theft: All Other Larceny,10/13/2014 12:00:00 AM,2200 LOU NEFF RD                                                                                    Austin TX 78746
479,Theft: All Other Larceny,07/29/2014 12:00:00 AM,2702 PEGRAM AVE                                                                                     Austin TX 78757
480,Theft: All Other Larceny,10/07/2014 12:00:00 AM,8524 PEACEFUL HILL LN                                                                               Austin TX 78748
481,Theft: All Other Larceny,10/29/2014 12:00:00 AM,611 TRINITY ST                                                                                      Austin TX 78701
482,Theft: BOV,05/10/2014 12:00:00 AM,8926 N LAMAR BLVD                                                                                   Austin TX 78758
484,Robbery,07/02/2014 12:00:00 AM,1707 INVERNESS BLVD                                                                                 Austin TX 78745
485,Theft: All Other Larceny,06/30/2014 12:00:00 AM,400 E 6TH ST                                                                                        Austin TX 78701
486,Burglary: Breaking & Entering,02/09/2014 12:00:00 AM,11416 N FM 620 RD                                                                                   Austin TX 78726
487,Theft: Shoplifting,12/27/2014 12:00:00 AM,6518 ED BLUESTEIN BLVD SB                                                                           Austin TX 78723
488,Theft: BOV,02/16/2014 12:00:00 AM,4302 BELLVUE AVE                                                                                    Austin TX 78756
489,Theft: All Other Larceny,12/10/2014 12:00:00 AM,9300 NORTHGATE BLVD                                                                                 Austin TX 78758
490,Burglary: Breaking & Entering,06/30/2014 12:00:00 AM,5309 WATERBROOK DR                                                                                  Austin TX 78723
491,Burglary: Breaking & Entering,08/18/2014 12:00:00 AM,2900 CENTURY PARK BLVD                                                                              Austin TX 78727
492,Theft: BOV,02/08/2014 12:00:00 AM,10412 LITTLE PEBBLE DR                                                                              Austin TX 78758
493,Theft: All Other Larceny,05/12/2014 12:00:00 AM,2028 W BEN WHITE BLVD SVRD WB                                                                       Austin TX 78704
494,Theft: Shoplifting,02/27/2014 12:00:00 AM,4405 E RIVERSIDE DR                                                                                 Austin TX 78741
495,Theft: Shoplifting,08/19/2014 12:00:00 AM,710 E BEN WHITE BLVD SVRD EB                                                                        Austin TX 78745
496,Theft: All Other Larceny,09/12/2014 12:00:00 AM,1701 W BEN WHITE BLVD SVRD EB                                                                       Austin TX 78745
497,Theft: BOV,08/28/2014 12:00:00 AM,7601 N LAMAR BLVD SVRD NB                                                                           Austin TX 78752
498,Theft: Shoplifting,10/10/2014 12:00:00 AM,8600 E US 290 HWY WB                                                                                Austin TX 78754
499,Theft: BOV,05/09/2014 12:00:00 AM,12613 BLACK HILLS DR                                                                                Austin TX 78739
500,Burglary: Breaking & Entering,07/30/2014 12:00:00 AM,305 W 29TH ST                                                                                       Austin TX 78705
501,Theft: BOV,02/23/2014 12:00:00 AM,507 CALLES ST                                                                                       Austin TX 78702
502,Theft: BOV,11/22/2014 12:00:00 AM,2711 S IH 35 SVRD NB                                                                                Austin TX 78741
503,Theft: BOV,05/09/2014 12:00:00 AM,2806 WOOLDRIDGE DR                                                                                  Austin TX 78703
504,Aggravated Assault,05/14/2014 12:00:00 AM,9624 NEWFOUNDLAND CIR                                                                               Austin TX 78758
505,Theft: BOV,12/19/2014 12:00:00 AM,1515 WICKERSHAM LN                                                                                  Austin TX 78741
506,Theft: Shoplifting,01/01/2014 12:00:00 AM,12901 N IH 35 SVRD NB                                                                               Austin TX 78753
507,Theft: BOV,10/24/2014 12:00:00 AM,6307 BLUFF SPRINGS RD                                                                               Austin TX 78744
508,Theft: All Other Larceny,04/18/2014 12:00:00 AM,4301 W WILLIAM CANNON DR                                                                            Austin TX 78749
509,Robbery,03/26/2014 12:00:00 AM,700 LAVACA ST                                                                                       Austin TX 78701
510,Theft: BOV,01/19/2014 12:00:00 AM,1518 DESERT QUAIL LN                                                                                Austin TX 78758
511,Theft: All Other Larceny,01/28/2014 12:00:00 AM,704 WREN AVE                                                                                        Austin TX 78753
512,Theft: All Other Larceny,09/13/2014 12:00:00 AM,12151 N IH 35 SVRD NB                                                                               Austin TX 78753
513,Theft: All Other Larceny,10/22/2014 12:00:00 AM,2525 W ANDERSON LN                                                                                  Austin TX 78757
514,Theft: BOV,04/23/2014 12:00:00 AM,1824 S IH 35 SVRD SB                                                                                Austin TX 78704
515,Theft: Auto Theft,03/02/2014 12:00:00 AM,7604 N IH 35 SVRD SB                                                                                Austin TX 78752
516,Theft: All Other Larceny,10/07/2014 12:00:00 AM,100 E 27TH ST                                                                                       Austin TX 78705
517,Theft: All Other Larceny,10/27/2014 12:00:00 AM,2320 GRACY FARMS LN                                                                                 Austin TX 78758
518,Theft: All Other Larceny,10/23/2014 12:00:00 AM,5411 WASSON RD                                                                                      Austin TX 78745
519,Theft: BOV,09/08/2014 12:00:00 AM,10001 RESEARCH BLVD NB                                                                              Austin TX 78759
520,Robbery,09/04/2014 12:00:00 AM,2815 E SH 71 WB                                                                                     Austin TX 78617
521,Burglary: Breaking & Entering,05/16/2014 12:00:00 AM,2419 W SLAUGHTER LN                                                                                 Austin TX 78748
522,Burglary: Breaking & Entering,10/25/2014 12:00:00 AM,5801 AINEZ DR                                                                                       Austin TX 78744
523,Theft: Auto Theft,02/28/2014 12:00:00 AM,4013 MANCHACA RD                                                                                    Austin TX 78704
524,Theft: All Other Larceny,10/16/2014 12:00:00 AM,3404 MOUNT BARKER DR                                                                                Austin TX 78731
525,Theft: All Other Larceny,01/16/2014 12:00:00 AM,500 E 7TH ST                                                                                        Austin TX 78701
526,Theft: BOV,09/01/2014 12:00:00 AM,1012 EDGECLIFF TER                                                                                  Austin TX 78704
527,Theft: All Other Larceny,01/22/2014 12:00:00 AM,514 MONTOPOLIS DR                                                                                   Austin TX 78741
528,Theft: All Other Larceny,06/03/2014 12:00:00 AM,12625 N IH 35 SVRD NB                                                                               Austin TX 78753
529,Theft: BOV,03/28/2014 12:00:00 AM,1515 WICKERSHAM LN                                                                                  Austin TX 78741
530,Theft: All Other Larceny,06/04/2014 12:00:00 AM,4100 VICTORY DR                                                                                     Austin TX 78704
531,Theft: BOV,10/04/2014 12:00:00 AM,1600 WICKERSHAM LN                                                                                  Austin TX 78741
532,Theft: All Other Larceny,06/24/2014 12:00:00 AM,7701 CAMERON RD                                                                                     Austin TX 78752
533,Theft: Shoplifting,05/31/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
534,Theft: BOV,03/15/2014 12:00:00 AM,E 3RD ST / CHALMERS AVE                                                                             Austin TX 78702
535,Theft: BOV,03/26/2014 12:00:00 AM,8565 RESEARCH BLVD NB                                                                               Austin TX 78758
536,Theft: BOV,06/26/2014 12:00:00 AM,4404 E OLTORF ST                                                                                    Austin TX 78741
537,Theft: All Other Larceny,06/23/2014 12:00:00 AM,4600 MUELLER BLVD                                                                                   Austin TX 78723
538,Theft: Shoplifting,10/04/2014 12:00:00 AM,11200 LAKELINE MALL DR                                                                              Austin TX 78613
539,Theft: BOV,06/14/2014 12:00:00 AM,8225 CROSS PARK DR                                                                                  Austin TX 78754
540,Theft: BOV,10/13/2014 12:00:00 AM,6410 LYNCH LN                                                                                       Austin TX 78741
541,Theft: All Other Larceny,05/20/2014 12:00:00 AM,9414 N LAMAR BLVD                                                                                   Austin TX 78758
543,Theft: BOV,09/14/2014 12:00:00 AM,4418 EAGLES LANDING DR                                                                              Austin TX 78735
544,Theft: All Other Larceny,08/12/2014 12:00:00 AM,920 FIELDWOOD DR                                                                                    Austin TX 78758
545,Burglary: Breaking & Entering,06/12/2014 12:00:00 AM,5224 CANELLA DR                                                                                     Austin TX 78744
546,Theft: All Other Larceny,01/24/2014 12:00:00 AM,1201 BARBARA JORDAN BLVD                                                                            Austin TX 78723
547,Theft: BOV,05/27/2014 12:00:00 AM,2501 WICKERSHAM LN                                                                                  Austin TX 78741
548,Aggravated Assault,09/19/2014 12:00:00 AM,7800 N IH 35 SVRD SB                                                                                Austin TX 78753
549,Burglary: Breaking & Entering,12/16/2014 12:00:00 AM,3004 BURLESON RD                                                                                    Austin TX 78741
550,Theft: BOV,01/20/2014 12:00:00 AM,1908 SAN ANTONIO ST                                                                                 Austin TX 78705
551,Theft: Shoplifting,01/21/2014 12:00:00 AM,8601 RESEARCH BLVD NB                                                                               Austin TX 78758
552,Theft: Shoplifting,01/15/2014 12:00:00 AM,31 N IH 35 SVRD NB                                                                                  Austin TX 78702
553,Theft: All Other Larceny,01/21/2014 12:00:00 AM,507 S 1ST ST                                                                                        Austin TX 78704
554,Theft: BOV,03/04/2014 12:00:00 AM,2112 RUTLAND DR                                                                                     Austin TX 78758
556,Theft: All Other Larceny,12/17/2014 12:00:00 AM,2200 S LAKESHORE BLVD                                                                               Austin TX 78741
557,Theft: Shoplifting,11/24/2014 12:00:00 AM,6900 BRODIE LN                                                                                      Austin TX 78749
558,Burglary: Breaking & Entering,10/15/2014 12:00:00 AM,3710 CRAWFORD AVE                                                                                   Austin TX 78731
559,Theft: All Other Larceny,08/27/2014 12:00:00 AM,9300 S IH 35 SB                                                                                     Austin TX 78745
560,Theft: Shoplifting,08/10/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
562,Theft: All Other Larceny,01/15/2014 12:00:00 AM,500 E 7TH ST                                                                                        Austin TX 78701
563,Theft: Auto Theft,05/05/2014 12:00:00 AM,2500 BURLESON RD                                                                                    Austin TX 78741
564,Theft: Auto Theft,12/14/2014 12:00:00 AM,1113 BANISTER LN                                                                                    Austin TX 78704
565,Theft: All Other Larceny,11/26/2014 12:00:00 AM,10801 OLD MANCHACA RD                                                                               Austin TX 78748
566,Theft: All Other Larceny,06/27/2014 12:00:00 AM,7200 SILVERMINE DR                                                                                  Austin TX 78736
567,Theft: BOV,12/16/2014 12:00:00 AM,3612 TUDOR BLVD                                                                                     Austin TX 78759
568,Theft: BOV,11/23/2014 12:00:00 AM,1805 AIRPORT COMMERCE DR                                                                            Austin TX 78741
569,Theft: BOV,02/12/2014 12:00:00 AM,7504 LOGANBERRY DR                                                                                  Austin TX 78745
570,Theft: All Other Larceny,02/19/2014 12:00:00 AM,GEORGIAN DR / E POWELL LN                                                                           Austin TX 78753
571,Theft: Shoplifting,09/04/2014 12:00:00 AM,4718 S US 183 HWY SB                                                                                Austin TX 78744
572,Theft: All Other Larceny,04/17/2014 12:00:00 AM,1004 N MEADOWS DR                                                                                   Austin TX 78758
573,Theft: All Other Larceny,12/24/2014 12:00:00 AM,4415 S IH 35 SVRD NB                                                                                Austin TX 78744
574,Burglary: Breaking & Entering,05/08/2014 12:00:00 AM,604 MEADOW LEA DR                                                                                   Austin TX 78745
575,Theft: All Other Larceny,11/05/2014 12:00:00 AM,2701 SORIN ST                                                                                       Austin TX 78723
576,Aggravated Assault,09/12/2014 12:00:00 AM,5401 HICKORY DR                                                                                     Austin TX 78744
578,Burglary: Breaking & Entering,11/05/2014 12:00:00 AM,1160 NICKOLS AVE                                                                                    Austin TX 78721
579,Theft: BOV,04/26/2014 12:00:00 AM,6103 MANOR RD                                                                                       Austin TX 78723
580,Theft: All Other Larceny,01/07/2014 12:00:00 AM,11200 LAKELINE MALL DR                                                                              Austin TX 78613
581,Theft: All Other Larceny,10/01/2014 12:00:00 AM,6300 N IH 35 SVRD NB                                                                                Austin TX 78752
582,Burglary: Breaking & Entering,10/06/2014 12:00:00 AM,5403 AVENUE H                                                                                       Austin TX 78751
583,Burglary: Breaking & Entering,12/30/2014 12:00:00 AM,1840 BURTON DR                                                                                      Austin TX 78741
584,Theft: All Other Larceny,02/12/2014 12:00:00 AM,6821 AIRPORT BLVD                                                                                   Austin TX 78752
585,Theft: All Other Larceny,03/11/2014 12:00:00 AM,1300 LAVACA ST                                                                                      Austin TX 78701
586,Theft: Shoplifting,05/03/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
587,Theft: BOV,03/12/2014 12:00:00 AM,2901 BARTON SKWY                                                                                    Austin TX 78746
588,Theft: BOV,02/09/2014 12:00:00 AM,ONION CREEK DR / S PLEASANT VALLEY RD                                                               Austin TX 78744
589,Theft: Auto Theft,09/29/2014 12:00:00 AM,3311 N IH 35 SVRD NB                                                                                Austin TX 78722
590,Theft: All Other Larceny,03/27/2014 12:00:00 AM,6400 BRODIE LN                                                                                      Austin TX 78749
591,Theft: BOV,03/14/2014 12:00:00 AM,1704 NELMS DR                                                                                       Austin TX 78744
592,Theft: BOV,07/23/2014 12:00:00 AM,500 COMAL ST                                                                                        Austin TX 78702
593,Burglary: Breaking & Entering,09/24/2014 12:00:00 AM,4309 BELLVUE AVE                                                                                    Austin TX 78756
594,Burglary: Breaking & Entering,11/03/2014 12:00:00 AM,13816 IMMANUEL RD                                                                                   Austin TX 78660
595,Theft: All Other Larceny,02/21/2014 12:00:00 AM,814 LINGER LN                                                                                       Austin TX 78725
596,Theft: BOV,05/07/2014 12:00:00 AM,RESEARCH NB TO MOPAC NB RAMP / N MOPAC EXPY NB                                                      Austin TX 78759
597,Theft: All Other Larceny,08/01/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
598,Theft: Shoplifting,03/16/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
599,Theft: All Other Larceny,05/14/2014 12:00:00 AM,2424 S CONGRESS AVE                                                                                 Austin TX 78704
600,Theft: Auto Theft,08/12/2014 12:00:00 AM,9414 PARKFIELD DR                                                                                   Austin TX 78758
601,Burglary: Breaking & Entering,11/19/2014 12:00:00 AM,5100 CASWELL AVE                                                                                    Austin TX 78751
602,Theft: BOV,03/19/2014 12:00:00 AM,1605 SURREY HILL DR                                                                                 Austin TX 78746
603,Burglary: Breaking & Entering,10/02/2014 12:00:00 AM,13000 N IH 35 SVRD SB                                                                               Austin TX 78753
604,Theft: All Other Larceny,05/19/2014 12:00:00 AM,710 E BEN WHITE BLVD SVRD WB                                                                        Austin TX 78704
605,Theft: BOV,03/05/2014 12:00:00 AM,502 LIGHTSEY RD                                                                                     Austin TX 78704
606,Theft: All Other Larceny,01/22/2014 12:00:00 AM,216 E 4TH ST                                                                                        Austin TX 78701
607,Theft: All Other Larceny,01/11/2014 12:00:00 AM,11501 CENTURY OAKS TER                                                                              Austin TX 78758
608,Theft: Shoplifting,05/19/2014 12:00:00 AM,10107 RESEARCH BLVD NB                                                                              Austin TX 78759
609,Theft: Shoplifting,08/30/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
610,Burglary: Breaking & Entering,04/20/2014 12:00:00 AM,5005 COMMERCIAL PARK DR                                                                             Austin TX 78724
611,Burglary: Breaking & Entering,08/17/2014 12:00:00 AM,325 E GARRETT RUN                                                                                   Austin TX 78753
612,Burglary: Breaking & Entering,12/03/2014 12:00:00 AM,1601 W STASSNEY LN                                                                                  Austin TX 78745
613,Theft: BOV,10/20/2014 12:00:00 AM,4320 S IH 35 SVRD SB                                                                                Austin TX 78745
614,Burglary: Breaking & Entering,05/06/2014 12:00:00 AM,5908 DUNBURY DR                                                                                     Austin TX 78723
615,Theft: BOV,08/04/2014 12:00:00 AM,6307 BLUFF SPRINGS RD                                                                               Austin TX 78744
616,Theft: BOV,06/13/2014 12:00:00 AM,9828 GREAT HILLS TRL                                                                                Austin TX 78759
617,Theft: Pocket Picking,04/19/2014 12:00:00 AM,2201 WILLOW CREEK DR                                                                                Austin TX 78741
618,Theft: BOV,03/11/2014 12:00:00 AM,101 COLORADO ST                                                                                     Austin TX 78701
619,Theft: BOV,01/15/2014 12:00:00 AM,9701 DESSAU RD                                                                                      Austin TX 78754
620,Theft: All Other Larceny,12/01/2014 12:00:00 AM,1300 CROSSING PL                                                                                    Austin TX 78741
621,Theft: All Other Larceny,09/29/2014 12:00:00 AM,601 E 15TH ST                                                                                       Austin TX 78701
623,Theft: All Other Larceny,08/27/2014 12:00:00 AM,3600 PRESIDENTIAL BLVD                                                                              Austin TX 78719
624,Theft: All Other Larceny,08/11/2014 12:00:00 AM,1700 TERI RD                                                                                        Austin TX 78744
625,Theft: BOV,05/21/2014 12:00:00 AM,2502 E OLTORF ST                                                                                    Austin TX 78741
627,Theft: Shoplifting,12/10/2014 12:00:00 AM,8000 SHOAL CREEK BLVD                                                                               Austin TX 78757
628,Burglary: Breaking & Entering,01/02/2014 12:00:00 AM,408 N PLEASANT VALLEY RD                                                                            Austin TX 78702
629,Aggravated Assault,07/21/2014 12:00:00 AM,2902 SWEENEY LN                                                                                     Austin TX 78723
630,Theft: Shoplifting,12/31/2014 12:00:00 AM,1000 E 41ST ST                                                                                      Austin TX 78751
631,Theft: All Other Larceny,06/10/2014 12:00:00 AM,412 CONGRESS AVE                                                                                    Austin TX 78701
632,Theft: All Other Larceny,02/13/2014 12:00:00 AM,1105 SUMMIT ST                                                                                      Austin TX 78741
633,Theft: All Other Larceny,10/29/2014 12:00:00 AM,5510 S IH 35 SB                                                                                     Austin TX 78745
634,Theft: All Other Larceny,07/18/2014 12:00:00 AM,6000 SHEPHERD MOUNTAIN CV                                                                           Austin TX 78730
635,Burglary: Breaking & Entering,02/16/2014 12:00:00 AM,7403 CREEKBLUFF DR                                                                                  Austin TX 78750
636,Theft: BOV,12/01/2014 12:00:00 AM,115 NELLIE ST                                                                                       Austin TX 78704
637,Robbery,06/22/2014 12:00:00 AM,2608 W BRAKER LN                                                                                    Austin TX 78758
638,Theft: BOV,08/25/2014 12:00:00 AM,7000 ARDATH ST                                                                                      Austin TX 78757
639,Theft: BOV,11/10/2014 12:00:00 AM,5009 RICHMOND AVE                                                                                   Austin TX 78745
640,Theft: BOV,01/09/2014 12:00:00 AM,1901 ONION CREEK PKWY                                                                               Austin TX 78748
641,Theft: BOV,12/09/2014 12:00:00 AM,7518 ST PHILLIP ST                                                                                  Austin TX 78757
642,Theft: All Other Larceny,07/07/2014 12:00:00 AM,2915 AFTONSHIRE WAY                                                                                 Austin TX 78748
643,Aggravated Assault,05/12/2014 12:00:00 AM,8225 SAM RAYBURN DR                                                                                 Austin TX 78753
644,Theft: BOV,06/06/2014 12:00:00 AM,8800 N IH 35 SVRD SB                                                                                Austin TX 78753
645,Theft: All Other Larceny,12/02/2014 12:00:00 AM,3012 S CONGRESS AVE                                                                                 Austin TX 78704
646,Theft: Auto Theft,04/13/2014 12:00:00 AM,1806 FAIRLAWN LN                                                                                    Austin TX 78704
647,Burglary: Breaking & Entering,05/16/2014 12:00:00 AM,6327 SHADOW BND                                                                                     Austin TX 78745
648,Theft: All Other Larceny,06/17/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
649,Theft: BOV,12/12/2014 12:00:00 AM,400 W 35TH ST                                                                                       Austin TX 78705
650,Theft: BOV,05/16/2014 12:00:00 AM,E 5TH ST / WALLER ST                                                                                Austin TX 78702
651,Theft: BOV,01/24/2014 12:00:00 AM,500 E HIGHLAND MALL BLVD                                                                            Austin TX 78752
652,Theft: Auto Theft,04/28/2014 12:00:00 AM,7928 ROCKWOOD LN                                                                                    Austin TX 78757
653,Theft: All Other Larceny,10/28/2014 12:00:00 AM,1805 TREADWELL ST                                                                                   Austin TX 78704
654,Theft: BOV,11/05/2014 12:00:00 AM,2025 ROBERT BROWNING ST                                                                             Austin TX 78723
655,Burglary: Breaking & Entering,03/09/2014 12:00:00 AM,1512 WHELESS LN                                                                                     Austin TX 78723
656,Theft: Shoplifting,11/06/2014 12:00:00 AM,2300 W BEN WHITE BLVD SVRD WB                                                                       Austin TX 78704
657,Theft: from Building,05/12/2014 12:00:00 AM,4009 BANISTER LN                                                                                    Austin TX 78704
658,Theft: All Other Larceny,04/19/2014 12:00:00 AM,403 E 6TH ST                                                                                        Austin TX 78701
660,Burglary: Breaking & Entering,11/21/2014 12:00:00 AM,2603 JONES RD                                                                                       Austin TX 78745
661,Theft: All Other Larceny,07/24/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
662,Theft: Shoplifting,07/06/2014 12:00:00 AM,1000 E 41ST ST                                                                                      Austin TX 78751
663,Theft: Auto Theft,06/05/2014 12:00:00 AM,1100 REINLI ST                                                                                      Austin TX 78723
665,Theft: All Other Larceny,02/19/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
666,Burglary: Breaking & Entering,03/16/2014 12:00:00 AM,300 FERGUSON DR                                                                                     Austin TX 78753
667,Theft: All Other Larceny,03/17/2014 12:00:00 AM,5808 WELLINGTON DR                                                                                  Austin TX 78723
668,Theft: Shoplifting,12/29/2014 12:00:00 AM,11521 N FM 620 RD                                                                                   Austin TX 78726
669,Theft: All Other Larceny,01/16/2014 12:00:00 AM,9607 DALLUM DR                                                                                      Austin TX 78753
670,Theft: BOV,05/17/2014 12:00:00 AM,625 E STASSNEY LN                                                                                   Austin TX 78745
671,Theft: Shoplifting,09/20/2014 12:00:00 AM,1000 E 41ST ST                                                                                      Austin TX 78751
672,Theft: All Other Larceny,06/26/2014 12:00:00 AM,8710 BURNET RD                                                                                      Austin TX 78757
673,Theft: Shoplifting,03/01/2014 12:00:00 AM,11111 LAKELINE BLVD                                                                                 Austin TX 78717
675,Burglary: Breaking & Entering,02/10/2014 12:00:00 AM,4613 EAGLE FEATHER DR                                                                               Austin TX 78735
677,Theft: All Other Larceny,12/01/2014 12:00:00 AM,3111 TOM GREEN ST                                                                                   Austin TX 78705
678,Theft: Auto Theft,05/05/2014 12:00:00 AM,9605 PARKFIELD DR                                                                                   Austin TX 78758
679,Theft: All Other Larceny,02/16/2014 12:00:00 AM,1000 E 41ST ST                                                                                      Austin TX 78751
680,Theft: BOV,11/11/2014 12:00:00 AM,7585 CHEVY CHASE DR                                                                                 Austin TX 78752
681,Theft: BOV,12/19/2014 12:00:00 AM,9333 RESEARCH BLVD SVRD NB                                                                          Austin TX 78759
682,Theft: All Other Larceny,08/17/2014 12:00:00 AM,1713 PATTON LN                                                                                      Austin TX 78723
683,Burglary: Breaking & Entering,02/01/2014 12:00:00 AM,707 W 30TH ST                                                                                       Austin TX 78705
684,Theft: All Other Larceny,06/25/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
685,Theft: BOV,06/10/2014 12:00:00 AM,3207 GOODWIN AVE                                                                                    Austin TX 78702
686,Theft: All Other Larceny,04/22/2014 12:00:00 AM,7701 CAMERON RD                                                                                     Austin TX 78752
687,Theft: BOV,10/26/2014 12:00:00 AM,5304 BEECHMOOR DR                                                                                   Austin TX 78723
688,Theft: BOV,10/28/2014 12:00:00 AM,707 W 21ST ST                                                                                       Austin TX 78705
