Offense_Description,Report_Date,Full Address,Zip
Theft: All Other Larceny,06/02/2014 12:00:00 AM,6706 REGIENE RD                                                                                     ,78725
Theft: All Other Larceny,05/13/2014 12:00:00 AM,3600 S IH 35 SVRD SB                                                                                ,78704
Theft: All Other Larceny,03/14/2014 12:00:00 AM,5407 CLAY AVE                                                                                       ,78756
Theft: All Other Larceny,06/30/2014 12:00:00 AM,43 RAINEY ST                                                                                        ,78701
Theft: Shoplifting,01/13/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,78746
Theft: BOV,01/14/2014 12:00:00 AM,6600 VALLEYSIDE RD                                                                                  ,78731
Theft: All Other Larceny,06/14/2014 12:00:00 AM,9801 MANCHACA RD                                                                                    ,78748
Theft: Shoplifting,05/24/2014 12:00:00 AM,12625 N IH 35 SVRD NB                                                                               ,78753
Theft: BOV,04/09/2014 12:00:00 AM,7000 BENDING OAK RD                                                                                 ,78749
Theft: All Other Larceny,11/08/2014 12:00:00 AM,4914 SUBURBAN DR                                                                                    ,78745
Theft: All Other Larceny,04/27/2014 12:00:00 AM,409 1/2 NECHES ST                                                                                   ,78701
Theft: All Other Larceny,11/28/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 ,78741
Theft: All Other Larceny,10/12/2014 12:00:00 AM,2041 LOU NEFF RD                                                                                    ,78746
Theft: BOV,05/12/2014 12:00:00 AM,1908 GARDEN ST                                                                                      ,78702
Theft: All Other Larceny,11/11/2014 12:00:00 AM,711 W 26TH ST                                                                                       ,78705
Burglary: Breaking & Entering,07/28/2014 12:00:00 AM,300 N LAMAR BLVD                                                                                    ,78703
Theft: All Other Larceny,05/30/2014 12:00:00 AM,908 KEITH LN                                                                                        ,78705
Burglary: Breaking & Entering,03/01/2014 12:00:00 AM,2216 MISSION HILL DR                                                                                ,78741
Burglary: Breaking & Entering,05/08/2014 12:00:00 AM,10401 N LAMAR BLVD                                                                                  ,78753
Theft: BOV,07/31/2014 12:00:00 AM,10515 N MOPAC EXPY SVRD NB                                                                          ,78758
Theft: All Other Larceny,10/02/2014 12:00:00 AM,1100 E OLTORF ST                                                                                    ,78704
Theft: BOV,08/02/2014 12:00:00 AM,6720 BAY CITY BND                                                                                   ,78725
Theft: BOV,02/14/2014 12:00:00 AM,12989 N US 183 HWY SVRD NB                                                                          ,78729
Burglary: Breaking & Entering,07/13/2014 12:00:00 AM,11617 RESEARCH BLVD NB                                                                              ,78759
Theft: BOV,11/26/2014 12:00:00 AM,6513 N IH 35 SVRD NB                                                                                ,78752
Theft: Shoplifting,04/05/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                ,78748
Theft: All Other Larceny,06/13/2014 12:00:00 AM,7307 LAKE CHARLES DR                                                                                ,78744
Robbery,07/26/2014 12:00:00 AM,9601 MIDDLE FISKVILLE RD                                                                            ,78753
Theft: All Other Larceny,10/27/2014 12:00:00 AM,406 W 17TH ST                                                                                       ,78701
Burglary: Breaking & Entering,12/15/2014 12:00:00 AM,1101 E 6TH ST                                                                                       ,78702
Theft: All Other Larceny,11/26/2014 12:00:00 AM,1137 GUNTER ST                                                                                      ,78721
Theft: BOV,07/27/2014 12:00:00 AM,6414 NORTH HAMPTON DR                                                                               ,78723
Theft: Shoplifting,06/18/2014 12:00:00 AM,10900 LAKELINE MALL DR                                                                              ,78717
Theft: BOV,08/15/2014 12:00:00 AM,12443 TECH RIDGE BLVD                                                                               ,78753
Robbery,08/31/2014 12:00:00 AM,700 BLOCK E 6TH ST                                                                                  ,78701
Theft: All Other Larceny,09/18/2014 12:00:00 AM,1333 SHORE DISTRICT DR                                                                              ,78741
Theft: All Other Larceny,10/06/2014 12:00:00 AM,2217 MISSION HILL DR                                                                                ,78741
Aggravated Assault,02/18/2014 12:00:00 AM,7109 SUNGATE DR                                                                                     ,78731
Theft: BOV,07/09/2014 12:00:00 AM,4600 NUCKOLS CROSSING RD                                                                            ,78744
Theft: All Other Larceny,09/29/2014 12:00:00 AM,2704 RIO GRANDE ST                                                                                  ,78705
Theft: All Other Larceny,04/21/2014 12:00:00 AM,3453 WILLOWRUN DR                                                                                   ,78704
Burglary: Breaking & Entering,02/01/2014 12:00:00 AM,2318 SHOALMONT DR                                                                                   ,78756
Burglary: Breaking & Entering,03/02/2014 12:00:00 AM,401 LITTLE TEXAS LN                                                                                 ,78745
Theft: BOV,07/24/2014 12:00:00 AM,10300 JOLLYVILLE RD                                                                                 ,78759
Theft: Shoplifting,08/02/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,78753
Theft: Shoplifting,03/23/2014 12:00:00 AM,13609 N IH 35 NB                                                                                    ,78753
Theft: All Other Larceny,04/23/2014 12:00:00 AM,1840 BURTON DR                                                                                      ,78741
Burglary: Breaking & Entering,03/21/2014 12:00:00 AM,1088 PARK PLZ                                                                                       ,78753
Theft: BOV,04/24/2014 12:00:00 AM,246 W GARRETT RUN                                                                                   ,78753
Theft: All Other Larceny,02/20/2014 12:00:00 AM,3414 PENNSYLVANIA AVE                                                                               ,78721
Theft: Auto Theft,09/29/2014 12:00:00 AM,1617 N IH 35 SVRD NB                                                                                ,78702
Burglary: Breaking & Entering,11/19/2014 12:00:00 AM,1607 KERR ST                                                                                        ,78704
Theft: BOV,07/14/2014 12:00:00 AM,7215 THANNAS WAY                                                                                    ,78744
Theft: BOV,05/20/2014 12:00:00 AM,13024 VIZQUEL LOOP                                                                                  ,78617
Theft: All Other Larceny,03/25/2014 12:00:00 AM,13215 N US 183 HWY NB                                                                               ,78729
Theft: All Other Larceny,09/25/2014 12:00:00 AM,300 E 6TH ST                                                                                        ,78701
Burglary: Breaking & Entering,03/20/2014 12:00:00 AM,5309 SPRING MEADOW RD                                                                               ,78744
Burglary: Breaking & Entering,08/15/2014 12:00:00 AM,8214 N IH 35 SB                                                                                     ,78753
Theft: BOV,06/03/2014 12:00:00 AM,2418 STRATFORD DR                                                                                   ,78746
Theft: All Other Larceny,08/17/2014 12:00:00 AM,1715 W 35TH ST                                                                                      ,78703
Theft: All Other Larceny,09/10/2014 12:00:00 AM,601 E 15TH ST                                                                                       ,78701
Theft: BOV,01/22/2014 12:00:00 AM,3600 VILLA CT                                                                                       ,78704
Theft: All Other Larceny,12/13/2014 12:00:00 AM,2525 E ANDERSON LN EB                                                                               ,78752
Theft: BOV,12/24/2014 12:00:00 AM,5310 SUMMER DR                                                                                      ,78741
Theft: BOV,01/31/2014 12:00:00 AM,11012 GEORGIAN DR                                                                                   ,78753
Theft: All Other Larceny,06/01/2014 12:00:00 AM,6911 N IH 35 SVRD NB                                                                                ,78752
Burglary: Breaking & Entering,05/05/2014 12:00:00 AM,1155 SPRINGDALE RD                                                                                  ,78721
Theft: Auto Theft,01/17/2014 12:00:00 AM,1412 RUTLAND DR                                                                                     ,78758
Theft: All Other Larceny,03/20/2014 12:00:00 AM,1200 BARTON SPRINGS RD                                                                              ,78704
Theft: All Other Larceny,03/06/2014 12:00:00 AM,416 CONGRESS AVE                                                                                    ,78701
Theft: BOV,04/25/2014 12:00:00 AM,7211 NORTHEAST DR                                                                                   ,78723
Theft: BOV,12/29/2014 12:00:00 AM,402 PAMPA DR                                                                                        ,78752
Theft: Auto Theft,02/21/2014 12:00:00 AM,4505 DUVAL ST                                                                                       ,78751
Burglary: Breaking & Entering,12/11/2014 12:00:00 AM,4519 APACHE PASS                                                                                    ,78745
Theft: All Other Larceny,01/05/2014 12:00:00 AM,10900 RESEARCH BLVD NB                                                                              ,78759
Theft: All Other Larceny,06/03/2014 12:00:00 AM,2815 E SH 71 WB                                                                                     ,78617
Robbery,05/29/2014 12:00:00 AM,6109 FRIENDSWOOD DR                                                                                 ,78723
Theft: Shoplifting,12/11/2014 12:00:00 AM,12707 N MOPAC EXPY NB                                                                               ,78727
Theft: BOV,09/14/2014 12:00:00 AM,5701 S MOPAC EXPY SVRD NB                                                                           ,78749
Theft: BOV,01/14/2014 12:00:00 AM,1315 CLEARFIELD DR                                                                                  ,78758
Theft: All Other Larceny,01/30/2014 12:00:00 AM,12151 N IH 35 NB                                                                                    ,78753
Theft: All Other Larceny,01/10/2014 12:00:00 AM,9106 N IH 35 SVRD SB                                                                                ,78753
Theft: BOV,11/18/2014 12:00:00 AM,20 N IH 35 SVRD SB                                                                                  ,78701
Theft: BOV,04/14/2014 12:00:00 AM,3801 MANCHACA RD                                                                                    ,78704
Burglary: Breaking & Entering,08/11/2014 12:00:00 AM,2025 E 7TH ST                                                                                       ,78702
Theft: All Other Larceny,08/21/2014 12:00:00 AM,208 SAN JOSE ST                                                                                     ,78753
Aggravated Assault,04/23/2014 12:00:00 AM,11900 HOBBY HORSE CT                                                                                ,78758
Theft: All Other Larceny,08/13/2014 12:00:00 AM,1500 E RIVERSIDE DR                                                                                 ,78741
Theft: All Other Larceny,03/30/2014 12:00:00 AM,4300 MANOR RD                                                                                       ,78723
Theft: Auto Theft,05/05/2014 12:00:00 AM,4352 S IH 35 SVRD SB                                                                                ,78745
Theft: All Other Larceny,04/25/2014 12:00:00 AM,2620 S LAMAR BLVD                                                                                   ,78704
Theft: BOV,03/30/2014 12:00:00 AM,900 BLOCK E 4TH ST                                                                                  ,78702
Theft: All Other Larceny,08/03/2014 12:00:00 AM,110 W SLAUGHTER LN                                                                                  ,78745
Theft: All Other Larceny,11/16/2014 12:00:00 AM,1601 E 5TH ST                                                                                       ,78702
Theft: All Other Larceny,11/14/2014 12:00:00 AM,710 E BEN WHITE BLVD EB                                                                             ,78745
Burglary: Breaking & Entering,08/13/2014 12:00:00 AM,1411 W BEN WHITE BLVD SVRD EB                                                                       ,78745
Theft: Coin Op Machine,06/11/2014 12:00:00 AM,5526 N IH 35 SVRD SB                                                                                ,78751
Theft: All Other Larceny,09/09/2014 12:00:00 AM,7413 ONION CREEK DR                                                                                 ,78744
Theft: Shoplifting,09/25/2014 12:00:00 AM,710 E BEN WHITE BLVD WB                                                                             ,78704
Burglary: Breaking & Entering,03/20/2014 12:00:00 AM,6900 S IH 35 SVRD SB                                                                                ,78745
Theft: All Other Larceny,03/12/2014 12:00:00 AM,500E E CESAR CHAVEZ ST                                                                              ,78701
Theft: BOV,12/05/2014 12:00:00 AM,9041 RESEARCH BLVD NB                                                                               ,78758
Theft: All Other Larceny,03/21/2014 12:00:00 AM,5403 HARMON AVE                                                                                     ,78751
Aggravated Assault,06/22/2014 12:00:00 AM,1204 E ST JOHNS AVE                                                                                 ,78752
Theft: BOV,08/07/2014 12:00:00 AM,9012 RESEARCH BLVD SVRD SB                                                                          ,78757
Theft: Shoplifting,10/23/2014 12:00:00 AM,11200 LAKELINE MALL DR                                                                              ,78613
Theft: All Other Larceny,08/25/2014 12:00:00 AM,4907 SINGLE SHOT CIR                                                                                ,78723
Theft: All Other Larceny,08/12/2014 12:00:00 AM,2208 PEARL ST                                                                                       ,78705
Theft: BOV,05/06/2014 12:00:00 AM,5324 AIRPORT BLVD                                                                                   ,78751
Theft: Shoplifting,03/27/2014 12:00:00 AM,5621 N IH 35 SVRD NB                                                                                ,78723
Burglary: Breaking & Entering,01/13/2014 12:00:00 AM,9345 E US 290 HWY EB                                                                                ,78724
Burglary: Breaking & Entering,10/10/2014 12:00:00 AM,1500 E RIVERSIDE DR                                                                                 ,78741
Theft: Auto Theft,12/11/2014 12:00:00 AM,4305 FARHILLS DR                                                                                    ,78731
Theft: Shoplifting,01/02/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                ,78748
Theft: All Other Larceny,01/20/2014 12:00:00 AM,12621 HYMEADOW DR                                                                                   ,78729
Theft: All Other Larceny,02/26/2014 12:00:00 AM,820 W 3RD ST                                                                                        ,78703
Theft: BOV,03/27/2014 12:00:00 AM,15119 N IH 35 SVRD NB                                                                               ,78660
Burglary: Breaking & Entering,08/07/2014 12:00:00 AM,8101 N LAMAR BLVD NB                                                                                ,78753
Theft: All Other Larceny,10/17/2014 12:00:00 AM,7513 N IH 35 SVRD NB                                                                                ,78752
Theft: BOV,08/19/2014 12:00:00 AM,10200 N LAMAR BLVD                                                                                  ,78758
Theft: BOV,12/02/2014 12:00:00 AM,7101 N SIOUX TRL                                                                                    ,78729
Theft: Shoplifting,05/09/2014 12:00:00 AM,2400 S CONGRESS AVE                                                                                 ,78704
Theft: All Other Larceny,01/31/2014 12:00:00 AM,8630 RESEARCH BLVD SB                                                                               ,78757
Theft: Shoplifting,10/31/2014 12:00:00 AM,6001 AIRPORT BLVD                                                                                   ,78752
Theft: All Other Larceny,07/18/2014 12:00:00 AM,2222 E OLTORF ST                                                                                    ,78741
Theft: All Other Larceny,09/21/2014 12:00:00 AM,1408 E 37TH ST                                                                                      ,78722
Theft: Shoplifting,06/03/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 ,78741
Burglary: Breaking & Entering,10/28/2014 12:00:00 AM,12151 N IH 35 SVRD NB                                                                               ,78753
Burglary: Breaking & Entering,11/10/2014 12:00:00 AM,4613 ARAPAHOE TRL                                                                                   ,78745
Robbery,11/17/2014 12:00:00 AM,5908 PINON VISTA DR                                                                                 ,78724
Aggravated Assault,12/16/2014 12:00:00 AM,10600 W PARMER LN                                                                                   ,78717
Theft: Auto Theft,06/18/2014 12:00:00 AM,506 E RUNDBERG LN                                                                                   ,78753
Burglary: Breaking & Entering,12/05/2014 12:00:00 AM,701 MANKATO DR                                                                                      ,78748
Aggravated Assault,06/09/2014 12:00:00 AM,1026 CLAYTON LN                                                                                     ,78723
Theft: All Other Larceny,08/03/2014 12:00:00 AM,300 BOWIE ST                                                                                        ,78703
Theft: Shoplifting,04/26/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,78746
Robbery,01/28/2014 12:00:00 AM,220 COMAL ST                                                                                        ,78702
Theft: BOV,11/12/2014 12:00:00 AM,1020 GROVE BLVD                                                                                     ,78741
Theft: Shoplifting,02/18/2014 12:00:00 AM,2400 S CONGRESS AVE                                                                                 ,78704
Theft: BOV,05/08/2014 12:00:00 AM,10616 RESEARCH BLVD NB                                                                              ,78759
Theft: BOV,02/27/2014 12:00:00 AM,1817 E OLTORF ST                                                                                    ,78741
Theft: All Other Larceny,01/27/2014 12:00:00 AM,1300 CROSSING PL                                                                                    ,78741
Theft: BOV,07/01/2014 12:00:00 AM,11111 RESEARCH BLVD NB                                                                              ,78759
Burglary: Breaking & Entering,10/27/2014 12:00:00 AM,1008 AUDREY CT                                                                                      ,78704
Theft: All Other Larceny,09/29/2014 12:00:00 AM,1327 CONGRESS AVE                                                                                   ,78701
Burglary: Breaking & Entering,08/25/2014 12:00:00 AM,2701 PENNY LN                                                                                       ,78757
Theft: BOV,10/27/2014 12:00:00 AM,11705 LANSDOWNE RD                                                                                  ,78754
Theft: BOV,03/14/2014 12:00:00 AM,4140 GOVERNORS ROW                                                                                  ,78744
Theft: Pocket Picking,12/28/2014 12:00:00 AM,500 E 7TH ST                                                                                        ,78701
Burglary: Breaking & Entering,07/24/2014 12:00:00 AM,2320 GRACY FARMS LN                                                                                 ,78758
Theft: All Other Larceny,02/07/2014 12:00:00 AM,500 E CESAR CHAVEZ ST                                                                               ,78701
Theft: All Other Larceny,06/17/2014 12:00:00 AM,1819 S PLEASANT VALLEY RD                                                                           ,78741
Theft: BOV,08/29/2014 12:00:00 AM,6319 N IH 35 SVRD NB                                                                                ,78752
Theft: BOV,09/08/2014 12:00:00 AM,1707 WATERSTON AVE                                                                                  ,78703
Theft: BOV,10/09/2014 12:00:00 AM,739 W WILLIAM CANNON DR                                                                             ,78745
Theft: BOV,12/18/2014 12:00:00 AM,2417 WINSTED LN                                                                                     ,78703
Aggravated Assault,03/28/2014 12:00:00 AM,6118 FAIRWAY ST                                                                                     ,78741
Theft: All Other Larceny,06/21/2014 12:00:00 AM,3201 CENTURY PARK BLVD                                                                              ,78727
Theft: Shoplifting,03/07/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                ,78748
Theft: BOV,03/25/2014 12:00:00 AM,12309 PATRON DR                                                                                     ,78758
Theft: All Other Larceny,07/28/2014 12:00:00 AM,11301 JOLLYVILLE RD                                                                                 ,78759
Theft: All Other Larceny,02/12/2014 12:00:00 AM,4922 NUCKOLS CROSSING RD                                                                            ,78744
Theft: BOV,02/11/2014 12:00:00 AM,1800 CONGRESS AVE                                                                                   ,78701
Theft: BOV,05/22/2014 12:00:00 AM,11408 NAPLES CV                                                                                     ,78739
Theft: BOV,08/04/2014 12:00:00 AM,4700 E RIVERSIDE DR                                                                                 ,78741
Burglary: Breaking & Entering,06/11/2014 12:00:00 AM,5300 JIMMY CLAY DR                                                                                  ,78744
Theft: All Other Larceny,09/06/2014 12:00:00 AM,5330 N IH 35 SVRD SB                                                                                ,78751
Theft: BOV,02/20/2014 12:00:00 AM,1725 W 10TH ST                                                                                      ,78703
Theft: Shoplifting,12/10/2014 12:00:00 AM,9300 S IH 35 SVRD NB                                                                                ,78744
Theft: Shoplifting,02/03/2014 12:00:00 AM,12901 N IH 35 SVRD NB                                                                               ,78753
Aggravated Assault,06/11/2014 12:00:00 AM,1302 PARKER LN                                                                                      ,78741
Aggravated Assault,05/28/2014 12:00:00 AM,1105 CLAYTON LN                                                                                     ,78723
Theft: All Other Larceny,02/20/2014 12:00:00 AM,504 W 24TH ST                                                                                       ,78705
Theft: BOV,01/03/2014 12:00:00 AM,8106 BRODIE LN                                                                                      ,78749
Theft: All Other Larceny,01/30/2014 12:00:00 AM,5510 S IH 35 SVRD SB                                                                                ,78745
Theft: Shoplifting,06/07/2014 12:00:00 AM,1000 E 41ST ST                                                                                      ,78751
Theft: BOV,09/14/2014 12:00:00 AM,8802 LITTLE WALNUT DR                                                                               ,78753
Theft: BOV,09/15/2014 12:00:00 AM,4000 EAGLES LANDING CV                                                                              ,78735
Theft: All Other Larceny,05/22/2014 12:00:00 AM,1201 W 38TH ST                                                                                      ,78705
Theft: All Other Larceny,09/19/2014 12:00:00 AM,7002 DANWOOD DR                                                                                     ,78759
Theft: BOV,05/08/2014 12:00:00 AM,900 CENTER RIDGE DR                                                                                 ,78753
Theft: All Other Larceny,12/31/2014 12:00:00 AM,1822 RUTLAND DR                                                                                     ,78758
Burglary: Breaking & Entering,10/17/2014 12:00:00 AM,605 DAVIS ST                                                                                        ,78701
Theft: Auto Theft,12/25/2014 12:00:00 AM,710 E BEN WHITE BLVD EB                                                                             ,78745
Theft: BOV,06/20/2014 12:00:00 AM,2501 W PARMER LN                                                                                    ,78758
Theft: All Other Larceny,04/17/2014 12:00:00 AM,12625 N IH 35 SVRD NB                                                                               ,78753
Theft: All Other Larceny,02/04/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,78753
Theft: Shoplifting,01/31/2014 12:00:00 AM,11200 LAKELINE MALL DR                                                                              ,78613
Theft: All Other Larceny,04/27/2014 12:00:00 AM,1515 WICKERSHAM LN                                                                                  ,78741
Theft: All Other Larceny,05/02/2014 12:00:00 AM,8600 TALYNE CHAISE CIR                                                                              ,78729
Theft: Auto Theft,01/06/2014 12:00:00 AM,9616 N LAMAR BLVD                                                                                   ,78758
Theft: Shoplifting,09/22/2014 12:00:00 AM,823 CONGRESS AVE                                                                                    ,78701
Theft: All Other Larceny,01/04/2014 12:00:00 AM,11422 RUSTIC ROCK DR                                                                                ,78750
Theft: All Other Larceny,02/07/2014 12:00:00 AM,11800 ALPHEUS AVE                                                                                   ,78759
Theft: BOV,02/16/2014 12:00:00 AM,E 6TH ST / CHALMERS AVE                                                                             ,78702
Burglary: Breaking & Entering,05/20/2014 12:00:00 AM,4619 GILLIS ST                                                                                      ,78745
Theft: Auto Theft,12/19/2014 12:00:00 AM,8610 N LAMAR BLVD                                                                                   ,78758
Theft: All Other Larceny,02/21/2014 12:00:00 AM,6515 AIRPORT BLVD                                                                                   ,78752
Theft: All Other Larceny,06/27/2014 12:00:00 AM,8920 BUSINESS PARK DR                                                                               ,78759
Theft: All Other Larceny,06/24/2014 12:00:00 AM,1204 WEST LYNN ST                                                                                   ,78703
Theft: Auto Theft,02/28/2014 12:00:00 AM,4021 STECK AVE                                                                                      ,78759
